"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015","11:19 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,10,NA,21,-18248.657,36539.313,36641.519,36574.824,36540.2980746269,"b1_female_a_grip_bnt_10.out"," radcMAP_wide.dat",2.132,0.592,3.605,0,0.015,0.008,1.886,0.059,-0.1,0.069,-1.446,0.148,-0.092,0.079,-1.164,0.244,-0.07,0.069,-1.018,0.309,107.781,6.427,16.77,0,0.422,0.109,3.88,0,-2.436,0.746,-3.266,0.001,21.877,0.934,23.433,0,1.264,0.205,6.172,0,0.006,0.002,2.733,0.006,-0.032,0.016,-2.029,0.042,0.479,0.022,22.011,0,47.37,0.618,76.709,0,-1.034,0.082,-12.608,0,14.181,0.059,242.366,0,0.011,0.007,1.53,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:19 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,11,NA,21,-18683.653,37409.306,37511.512,37444.816,37410.2910746269,"b1_female_a_grip_bnt_11.out"," radcMAP_wide.dat",2.103,0.586,3.591,0,0.013,0.007,1.775,0.076,-0.082,0.065,-1.256,0.209,-0.086,0.073,-1.183,0.237,-0.092,0.069,-1.335,0.182,107.297,6.32,16.977,0,0.337,0.076,4.436,0,-2.247,0.633,-3.55,0,22.033,1.024,21.517,0,1.26,0.204,6.181,0,0.005,0.002,2.65,0.008,-0.029,0.015,-1.937,0.053,0.477,0.021,22.271,0,47.31,0.615,76.932,0,-1.003,0.076,-13.184,0,14.18,0.058,243.085,0,0.011,0.007,1.564,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:20 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,12,NA,21,-18912.908,37867.816,37970.021,37903.326,37868.8010746269,"b1_female_a_grip_bnt_12.out"," radcMAP_wide.dat",2.069,0.584,3.543,0,0.011,0.007,1.587,0.113,-0.068,0.063,-1.091,0.275,-0.071,0.071,-1.006,0.315,-0.062,0.069,-0.905,0.365,107.233,6.297,17.028,0,0.306,0.072,4.261,0,-2.18,0.604,-3.61,0,22.19,1.132,19.61,0,1.247,0.203,6.153,0,0.005,0.002,2.4,0.016,-0.024,0.015,-1.585,0.113,0.478,0.021,22.278,0,47.335,0.613,77.219,0,-1.015,0.073,-13.842,0,14.185,0.058,243.819,0,0.009,0.007,1.263,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:21 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,13,NA,21,-19024.923,38091.847,38194.052,38127.357,38092.8320746269,"b1_female_a_grip_bnt_13.out"," radcMAP_wide.dat",2.099,0.585,3.587,0,0.009,0.007,1.4,0.162,-0.067,0.062,-1.085,0.278,-0.082,0.07,-1.164,0.244,-0.06,0.068,-0.883,0.377,108.396,6.328,17.13,0,0.325,0.071,4.57,0,-2.465,0.596,-4.136,0,22.307,1.134,19.676,0,1.249,0.203,6.164,0,0.005,0.002,2.521,0.012,-0.024,0.015,-1.63,0.103,0.476,0.021,22.339,0,47.388,0.614,77.141,0,-1.036,0.073,-14.114,0,14.184,0.058,243.589,0,0.009,0.007,1.273,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:22 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,14,NA,21,-19127.48,38296.96,38399.166,38332.471,38297.9450746269,"b1_female_a_grip_bnt_14.out"," radcMAP_wide.dat",2.14,0.586,3.653,0,0.009,0.006,1.358,0.174,-0.074,0.061,-1.202,0.229,-0.093,0.07,-1.321,0.186,-0.05,0.068,-0.735,0.462,108.858,6.336,17.181,0,0.343,0.071,4.803,0,-2.568,0.589,-4.357,0,22.273,1.129,19.729,0,1.246,0.202,6.157,0,0.005,0.002,2.526,0.012,-0.023,0.015,-1.577,0.115,0.477,0.021,22.43,0,47.412,0.614,77.174,0,-1.043,0.073,-14.227,0,14.185,0.058,243.721,0,0.009,0.007,1.209,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:23 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,15,NA,21,-19197.503,38437.006,38539.212,38472.516,38437.9910746269,"b1_female_a_grip_bnt_15.out"," radcMAP_wide.dat",2.127,0.584,3.644,0,0.008,0.006,1.264,0.206,-0.075,0.06,-1.244,0.214,-0.081,0.069,-1.186,0.235,-0.042,0.068,-0.617,0.537,108.327,6.273,17.27,0,0.314,0.067,4.708,0,-2.428,0.569,-4.27,0,22.404,1.118,20.035,0,1.244,0.202,6.151,0,0.004,0.002,2.378,0.017,-0.022,0.014,-1.515,0.13,0.478,0.021,22.461,0,47.397,0.614,77.237,0,-1.04,0.073,-14.305,0,14.187,0.058,243.817,0,0.008,0.007,1.109,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:25 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,16,NA,21,-19247.155,38536.311,38638.516,38571.821,38537.2960746269,"b1_female_a_grip_bnt_16.out"," radcMAP_wide.dat",2.14,0.584,3.664,0,0.009,0.006,1.465,0.143,-0.081,0.06,-1.357,0.175,-0.084,0.068,-1.231,0.218,-0.044,0.068,-0.652,0.514,108.415,6.27,17.29,0,0.309,0.066,4.711,0,-2.435,0.56,-4.347,0,22.376,1.116,20.051,0,1.245,0.202,6.162,0,0.004,0.002,2.405,0.016,-0.022,0.014,-1.558,0.119,0.48,0.021,22.578,0,47.391,0.614,77.234,0,-1.038,0.073,-14.309,0,14.189,0.058,243.595,0,0.007,0.007,1.036,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:26 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,17,NA,21,-19255.171,38552.341,38654.547,38587.851,38553.3260746269,"b1_female_a_grip_bnt_17.out"," radcMAP_wide.dat",2.143,0.584,3.668,0,0.009,0.006,1.48,0.139,-0.082,0.06,-1.371,0.17,-0.085,0.068,-1.244,0.213,-0.043,0.068,-0.629,0.529,108.461,6.27,17.298,0,0.31,0.065,4.745,0,-2.446,0.56,-4.37,0,22.361,1.115,20.049,0,1.245,0.202,6.163,0,0.004,0.002,2.389,0.017,-0.022,0.014,-1.558,0.119,0.48,0.021,22.595,0,47.391,0.614,77.23,0,-1.037,0.073,-14.305,0,14.189,0.058,243.596,0,0.007,0.007,1.032,0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/04/2015","11:28 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,4,NA,21,-12410.539,24863.078,24965.284,24898.588,24864.0630746269,"b1_female_a_grip_bnt_4.out"," radcMAP_wide.dat",2.221,0.633,3.505,0,0.043,0.047,0.918,0.358,-0.281,0.171,-1.647,0.1,-0.138,0.163,-0.847,0.397,-0.059,0.096,-0.61,0.542,108.463,6.783,15.991,0,0.877,0.487,1.801,0.072,-3.361,1.368,-2.457,0.014,20.27,1.186,17.09,0,1.386,0.22,6.305,0,0.04,0.011,3.59,0,-0.119,0.039,-3.036,0.002,0.465,0.026,17.799,0,47.272,0.636,74.356,0,-0.928,0.168,-5.512,0,14.127,0.063,225.123,0,0.061,0.019,3.209,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:28 PM","RADC","b1","female","a",NA,NA,"grip","bnt",1,960,5,NA,21,-13859.986,27761.971,27864.177,27797.482,27762.9560746269,"b1_female_a_grip_bnt_5.out"," radcMAP_wide.dat",2.129,0.621,3.43,0.001,0.024,0.033,0.722,0.47,-0.148,0.143,-1.039,0.299,-0.124,0.142,-0.875,0.381,-0.074,0.084,-0.882,0.378,106.647,6.554,16.271,0,0.84,0.345,2.437,0.015,-1.966,1.177,-1.671,0.095,20.006,1.103,18.134,0,1.381,0.219,6.307,0,0.04,0.01,3.816,0,-0.113,0.033,-3.42,0.001,0.458,0.023,20.296,0,47.277,0.622,76.032,0,-0.954,0.144,-6.637,0,14.142,0.062,229,0,0.042,0.014,3.031,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
