"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:51 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,10,NA,21,-22817.691,45677.382,45779.587,45712.892,45678.3670746269,"b1_female_a_grip_lineorientation_10.out"," radcMAP_wide.dat",3.734,1.098,3.4,0.001,-0.005,0.013,-0.4,0.689,-0.09,0.145,-0.621,0.535,-0.099,0.144,-0.684,0.494,0.162,0.175,0.926,0.355,107.337,6.379,16.827,0,0.414,0.106,3.903,0,-2.391,0.733,-3.263,0.001,21.894,0.935,23.42,0,5.503,0.339,16.218,0,0.004,0.005,0.813,0.416,-0.003,0.033,-0.1,0.92,3.704,0.119,31.042,0,47.394,0.616,76.957,0,-1.04,0.082,-12.687,0,9.772,0.138,70.823,0,-0.005,0.017,-0.272,0.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:52 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,11,NA,21,-23376.43,46794.861,46897.066,46830.371,46795.8460746269,"b1_female_a_grip_lineorientation_11.out"," radcMAP_wide.dat",3.79,1.089,3.479,0.001,0.002,0.011,0.191,0.849,-0.118,0.139,-0.851,0.395,-0.126,0.132,-0.956,0.339,0.133,0.172,0.771,0.441,106.731,6.267,17.031,0,0.326,0.073,4.448,0,-2.163,0.62,-3.487,0,22.06,1.025,21.532,0,5.507,0.336,16.385,0,0.003,0.004,0.679,0.497,-0.005,0.03,-0.152,0.879,3.725,0.118,31.486,0,47.337,0.613,77.204,0,-1.008,0.076,-13.278,0,9.77,0.137,71.3,0,-0.003,0.015,-0.199,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:53 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,12,NA,21,-23651.578,47345.156,47447.362,47380.667,47346.1410746269,"b1_female_a_grip_lineorientation_12.out"," radcMAP_wide.dat",3.832,1.083,3.539,0,0.004,0.011,0.365,0.715,-0.14,0.133,-1.049,0.294,-0.125,0.127,-0.982,0.326,0.125,0.168,0.742,0.458,106.704,6.243,17.092,0,0.299,0.07,4.283,0,-2.109,0.591,-3.572,0,22.208,1.132,19.623,0,5.503,0.335,16.433,0,0.002,0.004,0.685,0.493,-0.002,0.029,-0.058,0.954,3.704,0.117,31.634,0,47.359,0.611,77.503,0,-1.019,0.073,-13.981,0,9.768,0.137,71.282,0,-0.002,0.014,-0.152,0.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:54 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,13,NA,21,-23788.196,47618.392,47720.597,47653.902,47619.3770746269,"b1_female_a_grip_lineorientation_13.out"," radcMAP_wide.dat",3.945,1.083,3.643,0,0.007,0.011,0.642,0.521,-0.184,0.132,-1.385,0.166,-0.139,0.127,-1.09,0.276,0.135,0.167,0.807,0.42,107.857,6.272,17.196,0,0.317,0.069,4.605,0,-2.393,0.583,-4.107,0,22.328,1.134,19.69,0,5.528,0.335,16.506,0,0.003,0.003,1.007,0.314,-0.008,0.029,-0.29,0.772,3.695,0.116,31.782,0,47.411,0.613,77.404,0,-1.04,0.073,-14.234,0,9.771,0.137,71.242,0,-0.003,0.014,-0.208,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:55 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,14,NA,21,-23900.33,47842.661,47944.867,47878.171,47843.6460746269,"b1_female_a_grip_lineorientation_14.out"," radcMAP_wide.dat",3.95,1.08,3.658,0,0.005,0.01,0.444,0.657,-0.185,0.133,-1.394,0.163,-0.131,0.127,-1.032,0.302,0.14,0.166,0.844,0.398,108.338,6.282,17.245,0,0.335,0.07,4.813,0,-2.506,0.58,-4.32,0,22.295,1.13,19.734,0,5.523,0.334,16.534,0,0.004,0.003,1.21,0.226,-0.007,0.028,-0.248,0.804,3.682,0.116,31.864,0,47.435,0.613,77.411,0,-1.048,0.073,-14.342,0,9.77,0.137,71.29,0,-0.003,0.014,-0.188,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:56 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,15,NA,21,-23983.782,48009.564,48111.77,48045.074,48010.5490746269,"b1_female_a_grip_lineorientation_15.out"," radcMAP_wide.dat",3.955,1.079,3.665,0,0.005,0.01,0.524,0.6,-0.208,0.132,-1.57,0.116,-0.118,0.124,-0.947,0.344,0.154,0.167,0.923,0.356,107.804,6.221,17.33,0,0.308,0.065,4.722,0,-2.371,0.559,-4.242,0,22.426,1.119,20.034,0,5.552,0.335,16.591,0,0.004,0.003,1.375,0.169,-0.013,0.028,-0.477,0.634,3.678,0.115,32.063,0,47.419,0.612,77.464,0,-1.044,0.072,-14.411,0,9.774,0.137,71.251,0,-0.004,0.014,-0.278,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:58 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,16,NA,21,-24038.366,48118.733,48220.938,48154.243,48119.7180746269,"b1_female_a_grip_lineorientation_16.out"," radcMAP_wide.dat",3.973,1.079,3.681,0,0.008,0.01,0.804,0.421,-0.219,0.131,-1.667,0.096,-0.12,0.124,-0.973,0.331,0.131,0.167,0.785,0.433,107.839,6.216,17.349,0,0.301,0.064,4.699,0,-2.361,0.55,-4.295,0,22.401,1.117,20.052,0,5.567,0.336,16.593,0,0.005,0.003,1.526,0.127,-0.017,0.028,-0.598,0.55,3.675,0.115,32.027,0,47.413,0.612,77.461,0,-1.042,0.072,-14.411,0,9.777,0.137,71.236,0,-0.005,0.014,-0.351,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","10:00 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,17,NA,21,-24048.154,48138.308,48240.514,48173.818,48139.2930746269,"b1_female_a_grip_lineorientation_17.out"," radcMAP_wide.dat",3.963,1.079,3.674,0,0.008,0.01,0.769,0.442,-0.214,0.131,-1.634,0.102,-0.12,0.124,-0.966,0.334,0.131,0.167,0.783,0.433,107.889,6.216,17.358,0,0.303,0.064,4.74,0,-2.373,0.549,-4.321,0,22.385,1.116,20.05,0,5.56,0.335,16.576,0,0.005,0.003,1.575,0.115,-0.016,0.029,-0.548,0.583,3.674,0.115,32.015,0,47.413,0.612,77.454,0,-1.042,0.072,-14.405,0,9.776,0.137,71.245,0,-0.005,0.014,-0.331,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/05/2015","10:02 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,4,NA,21,-15197.683,30437.367,30539.572,30472.877,30438.3520746269,"b1_female_a_grip_lineorientation_4.out"," radcMAP_wide.dat",3.297,1.24,2.659,0.008,0.028,0.109,0.255,0.799,0.431,0.445,0.969,0.333,-0.343,0.337,-1.016,0.31,0.187,0.248,0.752,0.452,108.333,6.763,16.019,0,0.863,0.487,1.771,0.077,-3.379,1.352,-2.498,0.012,20.277,1.187,17.085,0,5.182,0.402,12.882,0,0.018,0.059,0.298,0.766,0.108,0.115,0.935,0.35,3.777,0.182,20.767,0,47.286,0.635,74.507,0,-0.919,0.168,-5.477,0,9.705,0.146,66.476,0,0.052,0.051,1.021,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","10:02 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,5,NA,21,-17101.151,34244.301,34346.507,34279.811,34245.2860746269,"b1_female_a_grip_lineorientation_5.out"," radcMAP_wide.dat",3.422,1.19,2.876,0.004,0.059,0.074,0.792,0.428,0.251,0.32,0.784,0.433,-0.332,0.291,-1.138,0.255,0.22,0.221,0.997,0.319,106.28,6.531,16.274,0,0.813,0.343,2.372,0.018,-1.888,1.166,-1.619,0.105,20.047,1.105,18.137,0,5.217,0.385,13.567,0,0.014,0.032,0.447,0.655,0.07,0.085,0.831,0.406,3.854,0.165,23.316,0,47.278,0.621,76.135,0,-0.94,0.145,-6.48,0,9.74,0.144,67.824,0,0.011,0.036,0.316,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","10:02 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,6,NA,21,-18435.917,36913.835,37016.04,36949.345,36914.8200746269,"b1_female_a_grip_lineorientation_6.out"," radcMAP_wide.dat",3.637,1.162,3.129,0.002,0.011,0.049,0.218,0.828,0.107,0.254,0.42,0.675,-0.339,0.241,-1.407,0.159,0.269,0.205,1.31,0.19,107.243,6.448,16.632,0,0.758,0.251,3.017,0.003,-2.297,1.015,-2.264,0.024,20.05,1.029,19.485,0,5.309,0.372,14.282,0,0.011,0.021,0.528,0.598,0.042,0.063,0.661,0.509,3.782,0.153,24.797,0,47.237,0.619,76.346,0,-0.86,0.123,-6.987,0,9.72,0.142,68.654,0,0.031,0.029,1.071,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","10:03 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,7,NA,21,-19665.147,39372.294,39474.5,39407.804,39373.2790746269,"b1_female_a_grip_lineorientation_7.out"," radcMAP_wide.dat",3.534,1.148,3.077,0.002,-0.006,0.031,-0.191,0.848,0.102,0.223,0.456,0.649,-0.188,0.207,-0.911,0.362,0.231,0.194,1.193,0.233,108.532,6.531,16.617,0,0.943,0.195,4.838,0,-2.957,0.954,-3.101,0.002,19.732,0.927,21.282,0,5.341,0.355,15.025,0,0.011,0.014,0.8,0.424,0.033,0.054,0.612,0.541,3.752,0.139,27.024,0,47.286,0.618,76.458,0,-0.907,0.114,-7.943,0,9.713,0.139,70.022,0,0.035,0.023,1.546,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","10:03 AM","RADC","b1","female","a",NA,NA,"grip","lineorientation",1,960,8,NA,21,-20844.139,41730.278,41832.484,41765.788,41731.2630746269,"b1_female_a_grip_lineorientation_8.out"," radcMAP_wide.dat",3.816,1.135,3.362,0.001,0.012,0.022,0.566,0.571,-0.074,0.18,-0.414,0.679,-0.193,0.188,-1.023,0.306,0.104,0.193,0.536,0.592,110.055,6.571,16.749,0,0.828,0.176,4.703,0,-3.463,0.888,-3.899,0,20.272,0.891,22.764,0,5.406,0.349,15.497,0,0.005,0.009,0.587,0.557,0.021,0.045,0.474,0.635,3.723,0.13,28.685,0,47.417,0.622,76.189,0,-1.04,0.103,-10.088,0,9.748,0.138,70.65,0,0.009,0.02,0.461,0.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
