"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/06/2015","10:01 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,10,NA,21,-24394.284,48830.568,48932.774,48866.078,48831.5530746269,"b1_female_a_grip_lmimmed_10.out"," radcMAP_wide.dat",2.641,1.411,1.871,0.061,0.043,0.025,1.747,0.081,0.805,0.253,3.181,0.001,-0.18,0.183,-0.986,0.324,0.052,0.255,0.202,0.84,107.226,6.35,16.885,0,0.414,0.107,3.88,0,-2.391,0.728,-3.286,0.001,21.909,0.932,23.507,0,11.09,0.61,18.191,0,0.132,0.019,6.985,0,-0.04,0.094,-0.431,0.666,5.775,0.16,36.128,0,47.387,0.615,77.01,0,-1.029,0.081,-12.625,0,12.824,0.176,73.026,0,0.18,0.03,5.987,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:01 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,11,NA,21,-25007.904,50057.808,50160.014,50093.319,50058.7930746269,"b1_female_a_grip_lmimmed_11.out"," radcMAP_wide.dat",2.609,1.413,1.847,0.065,0.036,0.022,1.678,0.093,0.755,0.248,3.046,0.002,-0.075,0.171,-0.441,0.659,0.003,0.247,0.014,0.989,106.656,6.24,17.094,0,0.327,0.073,4.486,0,-2.173,0.613,-3.544,0,22.071,1.025,21.535,0,11.159,0.608,18.358,0,0.126,0.018,7.008,0,-0.048,0.09,-0.527,0.598,5.794,0.159,36.364,0,47.335,0.612,77.283,0,-1.003,0.075,-13.356,0,12.856,0.176,72.853,0,0.164,0.029,5.623,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:02 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,12,NA,21,-25338.219,50718.439,50820.644,50753.949,50719.4240746269,"b1_female_a_grip_lmimmed_12.out"," radcMAP_wide.dat",2.709,1.411,1.92,0.055,0.037,0.021,1.78,0.075,0.726,0.249,2.92,0.004,-0.093,0.167,-0.558,0.577,0.033,0.247,0.133,0.894,106.617,6.214,17.157,0,0.299,0.069,4.357,0,-2.118,0.581,-3.644,0,22.216,1.132,19.633,0,11.158,0.607,18.385,0,0.124,0.018,6.77,0,-0.044,0.09,-0.491,0.623,5.82,0.161,36.179,0,47.355,0.61,77.572,0,-1.013,0.072,-14.013,0,12.872,0.177,72.816,0,0.157,0.029,5.425,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:03 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,13,NA,21,-25522.223,51086.446,51188.652,51121.956,51087.4310746269,"b1_female_a_grip_lmimmed_13.out"," radcMAP_wide.dat",2.876,1.419,2.027,0.043,0.027,0.022,1.241,0.214,0.721,0.247,2.922,0.003,-0.142,0.168,-0.84,0.401,0.092,0.25,0.368,0.713,107.827,6.249,17.255,0,0.319,0.068,4.673,0,-2.417,0.576,-4.194,0,22.329,1.134,19.685,0,11.211,0.609,18.416,0,0.123,0.018,6.868,0,-0.062,0.091,-0.686,0.493,5.881,0.166,35.371,0,47.41,0.612,77.456,0,-1.034,0.073,-14.23,0,12.887,0.177,72.755,0,0.15,0.029,5.203,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:04 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,14,NA,21,-25673.866,51389.733,51491.938,51425.243,51390.7180746269,"b1_female_a_grip_lmimmed_14.out"," radcMAP_wide.dat",3.163,1.43,2.212,0.027,0.031,0.022,1.402,0.161,0.651,0.245,2.657,0.008,-0.199,0.166,-1.196,0.232,0.065,0.249,0.259,0.795,108.302,6.259,17.304,0,0.339,0.069,4.913,0,-2.521,0.572,-4.405,0,22.289,1.13,19.732,0,11.258,0.606,18.58,0,0.12,0.018,6.672,0,-0.071,0.088,-0.799,0.424,5.933,0.171,34.731,0,47.431,0.612,77.468,0,-1.04,0.073,-14.278,0,12.894,0.177,72.724,0,0.148,0.029,5.151,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:05 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,15,NA,21,-25777.307,51596.614,51698.819,51632.124,51597.5990746269,"b1_female_a_grip_lmimmed_15.out"," radcMAP_wide.dat",3.267,1.435,2.276,0.023,0.035,0.021,1.629,0.103,0.588,0.244,2.404,0.016,-0.186,0.16,-1.161,0.246,0.039,0.249,0.158,0.875,107.756,6.196,17.391,0,0.311,0.064,4.843,0,-2.379,0.551,-4.32,0,22.42,1.118,20.047,0,11.288,0.606,18.619,0,0.117,0.018,6.511,0,-0.074,0.087,-0.848,0.397,5.966,0.174,34.208,0,47.414,0.611,77.538,0,-1.036,0.072,-14.359,0,12.905,0.178,72.701,0,0.144,0.029,5.042,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:06 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,16,NA,21,-25845.638,51733.276,51835.482,51768.786,51734.2610746269,"b1_female_a_grip_lmimmed_16.out"," radcMAP_wide.dat",3.363,1.442,2.332,0.02,0.039,0.021,1.86,0.063,0.55,0.244,2.254,0.024,-0.195,0.158,-1.237,0.216,0.015,0.249,0.059,0.953,107.796,6.19,17.415,0,0.304,0.063,4.851,0,-2.371,0.541,-4.382,0,22.393,1.115,20.076,0,11.32,0.608,18.633,0,0.117,0.018,6.482,0,-0.08,0.087,-0.92,0.358,5.984,0.178,33.651,0,47.407,0.611,77.547,0,-1.033,0.072,-14.372,0,12.911,0.178,72.66,0,0.142,0.029,4.978,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:08 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,17,NA,21,-25855.303,51752.607,51854.812,51788.117,51753.5920746269,"b1_female_a_grip_lmimmed_17.out"," radcMAP_wide.dat",3.37,1.443,2.336,0.019,0.039,0.021,1.864,0.062,0.55,0.244,2.254,0.024,-0.198,0.158,-1.252,0.211,0.01,0.249,0.041,0.967,107.844,6.19,17.423,0,0.306,0.063,4.889,0,-2.382,0.541,-4.405,0,22.376,1.115,20.075,0,11.317,0.607,18.64,0,0.117,0.018,6.473,0,-0.079,0.086,-0.91,0.363,5.982,0.177,33.706,0,47.407,0.611,77.542,0,-1.033,0.072,-14.365,0,12.911,0.178,72.666,0,0.142,0.029,4.982,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/06/2015","10:10 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,4,NA,21,-16142.806,32327.611,32429.817,32363.121,32328.5960746269,"b1_female_a_grip_lmimmed_4.out"," radcMAP_wide.dat",1.884,1.569,1.2,0.23,-0.014,0.155,-0.092,0.927,1.267,0.566,2.237,0.025,-0.186,0.409,-0.456,0.649,0.101,0.376,0.268,0.789,108.478,6.771,16.022,0,0.873,0.483,1.808,0.071,-3.443,1.359,-2.533,0.011,20.266,1.185,17.105,0,11.379,0.695,16.375,0,0.379,0.11,3.438,0.001,-0.425,0.219,-1.942,0.052,5.79,0.242,23.973,0,47.293,0.635,74.484,0,-0.92,0.168,-5.463,0,12.591,0.189,66.57,0,0.361,0.065,5.542,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:10 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,5,NA,21,-18160.487,36362.974,36465.179,36398.484,36363.9590746269,"b1_female_a_grip_lmimmed_5.out"," radcMAP_wide.dat",1.873,1.489,1.258,0.208,0.108,0.091,1.18,0.238,1.163,0.409,2.845,0.004,-0.062,0.344,-0.179,0.858,-0.139,0.312,-0.446,0.656,106.338,6.51,16.334,0,0.851,0.343,2.479,0.013,-2.016,1.166,-1.728,0.084,20.006,1.1,18.18,0,11.106,0.66,16.832,0,0.224,0.057,3.893,0,-0.177,0.156,-1.137,0.256,5.853,0.214,27.335,0,47.291,0.621,76.158,0,-0.951,0.145,-6.562,0,12.594,0.184,68.431,0,0.346,0.05,6.889,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:10 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,6,NA,21,-19621.27,39284.541,39386.746,39320.051,39285.5260746269,"b1_female_a_grip_lmimmed_6.out"," radcMAP_wide.dat",2.064,1.468,1.406,0.16,0.031,0.067,0.464,0.643,1.046,0.363,2.885,0.004,-0.076,0.293,-0.259,0.795,0.047,0.295,0.16,0.873,107.401,6.434,16.694,0,0.782,0.254,3.083,0.002,-2.463,1.006,-2.448,0.014,20.032,1.026,19.517,0,11.074,0.639,17.333,0,0.195,0.038,5.207,0,-0.117,0.126,-0.927,0.354,5.729,0.196,29.2,0,47.251,0.619,76.296,0,-0.876,0.123,-7.095,0,12.631,0.181,69.707,0,0.31,0.043,7.269,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:10 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,7,NA,21,-20966.974,41975.948,42078.154,42011.458,41976.9330746269,"b1_female_a_grip_lmimmed_7.out"," radcMAP_wide.dat",2.145,1.441,1.489,0.137,0.081,0.048,1.675,0.094,1.033,0.314,3.291,0.001,-0.126,0.261,-0.484,0.628,-0.088,0.275,-0.32,0.749,108.516,6.509,16.671,0,0.949,0.196,4.841,0,-3.043,0.946,-3.217,0.001,19.745,0.927,21.295,0,11.108,0.629,17.662,0,0.175,0.029,6.075,0,-0.11,0.114,-0.969,0.333,5.709,0.18,31.67,0,47.28,0.619,76.407,0,-0.901,0.114,-7.897,0,12.695,0.179,70.858,0,0.259,0.037,7.005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:10 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,8,NA,21,-22258.923,44559.846,44662.052,44595.357,44560.8310746269,"b1_female_a_grip_lmimmed_8.out"," radcMAP_wide.dat",2.854,1.434,1.99,0.047,0.095,0.042,2.258,0.024,0.634,0.289,2.192,0.028,-0.216,0.237,-0.915,0.36,-0.102,0.268,-0.382,0.703,109.897,6.537,16.811,0,0.828,0.178,4.663,0,-3.47,0.882,-3.933,0,20.287,0.892,22.733,0,11.146,0.627,17.779,0,0.164,0.024,6.824,0,-0.103,0.107,-0.956,0.339,5.714,0.171,33.398,0,47.406,0.622,76.199,0,-1.029,0.103,-10.019,0,12.734,0.177,71.832,0,0.234,0.034,6.854,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","10:10 AM","RADC","b1","female","a",NA,NA,"grip","lmimmed",1,960,9,NA,21,-23494.859,47031.719,47133.924,47067.229,47032.7040746269,"b1_female_a_grip_lmimmed_9.out"," radcMAP_wide.dat",2.708,1.421,1.905,0.057,0.053,0.031,1.683,0.092,0.761,0.265,2.868,0.004,-0.189,0.21,-0.903,0.367,-0.005,0.257,-0.019,0.985,109.026,6.461,16.875,0,0.639,0.133,4.803,0,-3.073,0.795,-3.863,0,21.032,0.972,21.641,0,11.12,0.619,17.966,0,0.14,0.021,6.643,0,-0.066,0.1,-0.657,0.511,5.779,0.164,35.28,0,47.445,0.622,76.27,0,-1.058,0.092,-11.451,0,12.806,0.176,72.576,0,0.19,0.032,5.988,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
