"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:29 AM","RADC","b1","female","a",NA,NA,"grip","complexidea",1,961,10,NA,21,-15622.387,31286.774,31389.001,31322.306,31287.7580255591,"b1_female_a_grip_complexidea_10.out"," radcMAP_wide.dat",0.225,0.186,1.213,0.225,0,0.003,-0.05,0.96,0.062,0.036,1.704,0.088,0.014,0.018,0.766,0.444,0.04,0.045,0.895,0.371,107.135,6.37,16.818,0,0.412,0.106,3.87,0,-2.335,0.733,-3.184,0.001,21.898,0.932,23.489,0,0.109,0.014,7.651,0,0.001,0,2.152,0.031,-0.003,0.002,-1.457,0.145,0.206,0.012,16.639,0,47.407,0.614,77.157,0,-1.037,0.081,-12.861,0,7.662,0.025,304.402,0,0.01,0.004,2.34,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:29 AM","RADC","b1","female","a",NA,NA,"grip","complexidea",1,961,11,NA,21,-16030.933,32103.865,32206.092,32139.397,32104.8490255591,"b1_female_a_grip_complexidea_11.out"," radcMAP_wide.dat",0.221,0.182,1.213,0.225,0,0.003,0.175,0.861,0.062,0.034,1.815,0.07,0.014,0.018,0.783,0.434,0.049,0.043,1.123,0.261,106.567,6.259,17.026,0,0.324,0.073,4.453,0,-2.122,0.618,-3.434,0.001,22.065,1.024,21.545,0,0.104,0.014,7.481,0,0.001,0,2.259,0.024,-0.002,0.002,-0.927,0.354,0.208,0.012,16.658,0,47.353,0.611,77.443,0,-1.008,0.074,-13.546,0,7.665,0.025,309.806,0,0.009,0.004,2.254,0.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:30 AM","RADC","b1","female","a",NA,NA,"grip","complexidea",1,961,12,NA,21,-16225.378,32492.755,32594.983,32528.287,32493.7390255591,"b1_female_a_grip_complexidea_12.out"," radcMAP_wide.dat",0.226,0.18,1.251,0.211,0,0.003,0.114,0.909,0.061,0.033,1.832,0.067,0.013,0.017,0.739,0.46,0.053,0.044,1.217,0.224,106.581,6.234,17.097,0,0.299,0.069,4.33,0,-2.082,0.587,-3.547,0,22.207,1.131,19.635,0,0.103,0.014,7.362,0,0.001,0,2.191,0.028,-0.001,0.002,-0.713,0.476,0.207,0.012,16.663,0,47.376,0.609,77.732,0,-1.019,0.072,-14.239,0,7.666,0.025,311.742,0,0.009,0.004,2.246,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:31 AM","RADC","b1","female","a",NA,NA,"grip","complexidea",1,961,13,NA,21,-16339.366,32720.731,32822.959,32756.263,32721.7150255591,"b1_female_a_grip_complexidea_13.out"," radcMAP_wide.dat",0.229,0.18,1.272,0.203,0.001,0.003,0.369,0.712,0.062,0.032,1.933,0.053,0.008,0.017,0.492,0.622,0.055,0.044,1.241,0.215,107.77,6.267,17.197,0,0.318,0.068,4.661,0,-2.381,0.581,-4.098,0,22.325,1.133,19.702,0,0.101,0.014,7.202,0,0.001,0,2.146,0.032,-0.001,0.002,-0.59,0.555,0.208,0.012,16.667,0,47.429,0.611,77.623,0,-1.04,0.072,-14.483,0,7.668,0.025,311.474,0,0.008,0.004,1.942,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:33 AM","RADC","b1","female","a",NA,NA,"grip","complexidea",1,961,14,NA,21,-16428.629,32899.258,33001.485,32934.79,32900.2420255591,"b1_female_a_grip_complexidea_14.out"," radcMAP_wide.dat",0.234,0.179,1.304,0.192,0.001,0.002,0.3,0.764,0.063,0.032,1.982,0.047,0.006,0.017,0.363,0.717,0.057,0.044,1.298,0.194,108.268,6.278,17.244,0,0.336,0.069,4.902,0,-2.495,0.577,-4.325,0,22.289,1.129,19.748,0,0.101,0.014,7.218,0,0.001,0,2.189,0.029,-0.001,0.002,-0.686,0.493,0.207,0.012,16.712,0,47.453,0.611,77.641,0,-1.047,0.072,-14.605,0,7.669,0.025,310.875,0,0.007,0.004,1.781,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:34 AM","RADC","b1","female","a",NA,NA,"grip","complexidea",1,961,15,NA,21,-16494.691,33031.382,33133.609,33066.914,33032.3660255591,"b1_female_a_grip_complexidea_15.out"," radcMAP_wide.dat",0.25,0.179,1.398,0.162,0.001,0.002,0.247,0.805,0.057,0.031,1.815,0.07,0.007,0.017,0.408,0.684,0.053,0.045,1.192,0.233,107.757,6.217,17.334,0,0.31,0.064,4.818,0,-2.365,0.556,-4.257,0,22.415,1.118,20.043,0,0.101,0.014,7.176,0,0.001,0,2.117,0.034,-0.001,0.002,-0.591,0.555,0.207,0.012,16.786,0,47.438,0.61,77.71,0,-1.044,0.071,-14.704,0,7.669,0.025,311.318,0,0.007,0.004,1.791,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:36 AM","RADC","b1","female","a",NA,NA,"grip","complexidea",1,961,16,NA,21,-16529.678,33101.355,33203.583,33136.887,33102.3390255591,"b1_female_a_grip_complexidea_16.out"," radcMAP_wide.dat",0.253,0.178,1.42,0.156,0.001,0.002,0.304,0.761,0.056,0.031,1.809,0.07,0.006,0.017,0.363,0.717,0.053,0.044,1.19,0.234,107.824,6.213,17.354,0,0.304,0.063,4.814,0,-2.367,0.547,-4.325,0,22.384,1.116,20.06,0,0.101,0.014,7.169,0,0.001,0,2.061,0.039,-0.001,0.002,-0.557,0.578,0.207,0.012,16.775,0,47.433,0.61,77.711,0,-1.042,0.071,-14.725,0,7.669,0.025,311.546,0,0.007,0.004,1.802,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zero variance"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:39 AM","RADC","b1","female","a",NA,NA,"grip","complexidea",1,961,4,NA,21,-10616.929,21275.859,21378.086,21311.391,21276.8430255591,"b1_female_a_grip_complexidea_4.out"," radcMAP_wide.dat",0.141,0.22,0.641,0.522,-0.009,0.024,-0.367,0.713,0.09,0.096,0.945,0.345,0.046,0.054,0.847,0.397,0.032,0.062,0.52,0.603,108.141,6.738,16.049,0,0.866,0.485,1.785,0.074,-3.338,1.349,-2.474,0.013,20.283,1.186,17.107,0,0.112,0.023,4.859,0,0.005,0.006,0.877,0.38,-0.005,0.008,-0.584,0.559,0.21,0.016,12.795,0,47.297,0.634,74.552,0,-0.921,0.168,-5.491,0,7.655,0.03,258.122,0,0.015,0.012,1.289,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
