"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:25 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,10,NA,21,-12733.411,25508.823,25611.05,25544.354,25509.8070255591,"b1_female_a_fev_wordlistimmed_10.out"," radcMAP_wide.dat",0.286,0.051,5.576,0,-0.002,0.001,-1.609,0.108,0.018,0.009,2.003,0.045,-0.019,0.008,-2.434,0.015,0.009,0.01,0.887,0.375,0.134,0.008,17.031,0,0,0,3.73,0,-0.002,0.001,-3.121,0.002,0.027,0.004,7.117,0,11.541,0.699,16.506,0,0.146,0.023,6.288,0,0.112,0.1,1.12,0.263,6.282,0.172,36.576,0,1.733,0.021,82.222,0,-0.032,0.003,-12.513,0,19.552,0.19,102.69,0,0.142,0.029,4.837,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:26 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,11,NA,21,-13157.588,26357.176,26459.403,26392.708,26358.1600255591,"b1_female_a_fev_wordlistimmed_11.out"," radcMAP_wide.dat",0.285,0.051,5.572,0,-0.001,0.001,-1.541,0.123,0.018,0.009,1.984,0.047,-0.018,0.007,-2.431,0.015,0.005,0.009,0.533,0.594,0.133,0.008,17.41,0,0,0,3.503,0,-0.002,0.001,-3.331,0.001,0.031,0.005,6.721,0,11.523,0.697,16.522,0,0.133,0.02,6.558,0,0.133,0.096,1.378,0.168,6.331,0.171,37.023,0,1.732,0.021,83.489,0,-0.031,0.002,-14.057,0,19.58,0.19,103.131,0,0.127,0.028,4.49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:28 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,12,NA,21,-13330.099,26702.197,26804.425,26737.729,26703.1810255591,"b1_female_a_fev_wordlistimmed_12.out"," radcMAP_wide.dat",0.285,0.051,5.534,0,-0.001,0.001,-1.471,0.141,0.017,0.009,1.867,0.062,-0.017,0.007,-2.377,0.017,0.007,0.009,0.697,0.486,0.133,0.008,17.507,0,0,0,3.442,0.001,-0.002,0.001,-3.348,0.001,0.031,0.004,6.836,0,11.579,0.7,16.551,0,0.134,0.02,6.617,0,0.119,0.096,1.242,0.214,6.363,0.171,37.14,0,1.732,0.021,83.655,0,-0.031,0.002,-14.452,0,19.605,0.19,103.159,0,0.116,0.028,4.084,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:30 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,13,NA,21,-13421.314,26884.628,26986.856,26920.16,26885.6120255591,"b1_female_a_fev_wordlistimmed_13.out"," radcMAP_wide.dat",0.285,0.051,5.534,0,-0.002,0.001,-1.948,0.051,0.018,0.009,1.986,0.047,-0.017,0.007,-2.368,0.018,0.009,0.009,0.953,0.341,0.132,0.008,17.544,0,0,0,3.494,0,-0.002,0.001,-3.282,0.001,0.031,0.004,6.883,0,11.572,0.7,16.543,0,0.129,0.019,6.613,0,0.124,0.095,1.296,0.195,6.439,0.176,36.598,0,1.733,0.021,83.824,0,-0.032,0.002,-14.536,0,19.618,0.19,103.201,0,0.11,0.028,3.886,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:32 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,14,NA,21,-13488.863,27019.726,27121.954,27055.258,27020.7100255591,"b1_female_a_fev_wordlistimmed_14.out"," radcMAP_wide.dat",0.284,0.052,5.492,0,-0.002,0.001,-1.895,0.058,0.017,0.009,1.933,0.053,-0.016,0.007,-2.336,0.02,0.01,0.01,1.062,0.288,0.132,0.008,17.608,0,0,0,3.373,0.001,-0.002,0.001,-3.318,0.001,0.031,0.004,6.922,0,11.619,0.7,16.588,0,0.127,0.019,6.751,0,0.113,0.095,1.192,0.233,6.479,0.176,36.815,0,1.733,0.021,83.817,0,-0.032,0.002,-14.843,0,19.63,0.19,103.139,0,0.106,0.028,3.755,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:34 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,15,NA,21,-13549.488,27140.975,27243.203,27176.507,27141.9590255591,"b1_female_a_fev_wordlistimmed_15.out"," radcMAP_wide.dat",0.289,0.052,5.572,0,-0.001,0.001,-1.52,0.128,0.015,0.009,1.69,0.091,-0.017,0.007,-2.532,0.011,0.01,0.009,1.036,0.3,0.133,0.008,17.677,0,0,0,3.322,0.001,-0.002,0.001,-3.477,0.001,0.031,0.004,6.95,0,11.671,0.702,16.632,0,0.124,0.019,6.61,0,0.102,0.094,1.087,0.277,6.547,0.188,34.882,0,1.733,0.021,83.723,0,-0.031,0.002,-14.882,0,19.637,0.191,103.057,0,0.103,0.028,3.688,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:38 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,16,NA,21,-13602.379,27246.759,27348.986,27282.291,27247.7430255591,"b1_female_a_fev_wordlistimmed_16.out"," radcMAP_wide.dat",0.29,0.052,5.583,0,-0.001,0.001,-1.329,0.184,0.014,0.009,1.586,0.113,-0.017,0.007,-2.577,0.01,0.008,0.009,0.842,0.4,0.133,0.008,17.714,0,0,0,3.3,0.001,-0.002,0.001,-3.483,0,0.031,0.004,6.956,0,11.696,0.701,16.691,0,0.12,0.019,6.419,0,0.097,0.093,1.042,0.297,6.64,0.225,29.536,0,1.732,0.021,83.704,0,-0.031,0.002,-14.886,0,19.646,0.191,102.93,0,0.1,0.028,3.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:42 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,17,NA,21,-13605.651,27253.301,27355.528,27288.833,27254.2850255591,"b1_female_a_fev_wordlistimmed_17.out"," radcMAP_wide.dat",0.291,0.052,5.605,0,-0.001,0.001,-1.315,0.188,0.014,0.009,1.578,0.115,-0.017,0.007,-2.619,0.009,0.008,0.009,0.816,0.415,0.133,0.008,17.71,0,0,0,3.328,0.001,-0.002,0.001,-3.474,0.001,0.031,0.004,6.958,0,11.694,0.7,16.696,0,0.12,0.019,6.413,0,0.097,0.093,1.05,0.294,6.637,0.225,29.527,0,1.732,0.021,83.706,0,-0.031,0.002,-14.874,0,19.645,0.191,102.935,0,0.1,0.028,3.603,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/04/2015"," 4:47 AM","RADC","b1","female","a",NA,NA,"fev","wordlistimmed",1,961,4,NA,21,-8216.887,16475.774,16578.001,16511.306,16476.7580255591,"b1_female_a_fev_wordlistimmed_4.out"," radcMAP_wide.dat",0.267,0.054,4.945,0,-0.007,0.007,-0.985,0.325,0.028,0.022,1.299,0.194,-0.015,0.02,-0.759,0.448,0.022,0.016,1.371,0.17,0.131,0.008,16.113,0,0.001,0.001,0.931,0.352,-0.002,0.002,-1.474,0.141,0.026,0.004,5.855,0,11.735,0.757,15.512,0,0.596,0.112,5.297,0,-0.245,0.225,-1.09,0.276,5.559,0.219,25.42,0,1.741,0.021,81.769,0,-0.041,0.006,-6.861,0,19.145,0.196,97.468,0,0.48,0.07,6.88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
