"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/05/2015","12:34 AM","RADC","b1","female","a",NA,NA,"grip","digitordering",1,961,10,NA,21,-20333.726,40709.453,40811.68,40744.985,40710.4370255591,"b1_female_a_grip_digitordering_10.out"," radcMAP_wide.dat",1.581,0.511,3.091,0.002,0.007,0.009,0.792,0.428,0.071,0.09,0.789,0.43,-0.013,0.07,-0.181,0.857,0.119,0.12,0.994,0.32,107.163,6.358,16.856,0,0.41,0.105,3.894,0,-2.337,0.726,-3.217,0.001,21.902,0.935,23.437,0,1.149,0.101,11.371,0,0.005,0.002,2.385,0.017,-0.034,0.014,-2.514,0.012,1.35,0.057,23.643,0,47.387,0.616,76.975,0,-1.038,0.081,-12.802,0,7.361,0.069,106.812,0,-0.003,0.011,-0.307,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:35 AM","RADC","b1","female","a",NA,NA,"grip","digitordering",1,961,11,NA,21,-20830.529,41703.057,41805.285,41738.589,41704.0410255591,"b1_female_a_grip_digitordering_11.out"," radcMAP_wide.dat",1.595,0.508,3.138,0.002,0.005,0.008,0.586,0.558,0.057,0.086,0.658,0.511,-0.003,0.065,-0.045,0.964,0.135,0.115,1.169,0.242,106.597,6.252,17.05,0,0.323,0.072,4.469,0,-2.121,0.614,-3.456,0.001,22.07,1.027,21.499,0,1.14,0.098,11.638,0,0.004,0.002,2.254,0.024,-0.03,0.012,-2.419,0.016,1.341,0.056,23.917,0,47.335,0.613,77.224,0,-1.011,0.075,-13.473,0,7.36,0.068,108.038,0,-0.003,0.01,-0.308,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:35 AM","RADC","b1","female","a",NA,NA,"grip","digitordering",1,961,12,NA,21,-21085.79,42213.581,42315.808,42249.113,42214.5650255591,"b1_female_a_grip_digitordering_12.out"," radcMAP_wide.dat",1.606,0.506,3.175,0.001,0.004,0.007,0.479,0.632,0.061,0.085,0.716,0.474,-0.01,0.064,-0.154,0.878,0.132,0.114,1.16,0.246,106.608,6.229,17.113,0,0.296,0.069,4.32,0,-2.078,0.585,-3.553,0,22.214,1.133,19.614,0,1.127,0.097,11.657,0,0.004,0.002,2.221,0.026,-0.026,0.012,-2.168,0.03,1.335,0.056,23.985,0,47.356,0.611,77.512,0,-1.021,0.072,-14.128,0,7.361,0.068,108.366,0,-0.003,0.01,-0.347,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:36 AM","RADC","b1","female","a",NA,NA,"grip","digitordering",1,961,13,NA,21,-21223.566,42489.133,42591.36,42524.665,42490.1170255591,"b1_female_a_grip_digitordering_13.out"," radcMAP_wide.dat",1.614,0.505,3.196,0.001,0.002,0.007,0.27,0.787,0.063,0.083,0.762,0.446,-0.006,0.063,-0.097,0.922,0.123,0.112,1.092,0.275,107.786,6.263,17.211,0,0.315,0.068,4.645,0,-2.368,0.579,-4.088,0,22.331,1.135,19.68,0,1.129,0.096,11.709,0,0.004,0.002,2.453,0.014,-0.026,0.012,-2.24,0.025,1.335,0.055,24.17,0,47.41,0.612,77.42,0,-1.043,0.072,-14.403,0,7.362,0.068,108.282,0,-0.004,0.01,-0.419,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:37 AM","RADC","b1","female","a",NA,NA,"grip","digitordering",1,961,14,NA,21,-21338.088,42718.176,42820.403,42753.708,42719.1600255591,"b1_female_a_grip_digitordering_14.out"," radcMAP_wide.dat",1.672,0.504,3.319,0.001,0.002,0.007,0.308,0.758,0.054,0.08,0.68,0.497,-0.023,0.062,-0.363,0.717,0.129,0.112,1.153,0.249,108.293,6.277,17.252,0,0.334,0.068,4.884,0,-2.485,0.576,-4.314,0,22.296,1.13,19.739,0,1.134,0.096,11.754,0,0.004,0.002,2.407,0.016,-0.027,0.012,-2.372,0.018,1.337,0.055,24.312,0,47.433,0.613,77.434,0,-1.05,0.072,-14.498,0,7.365,0.068,108.327,0,-0.005,0.01,-0.554,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:38 AM","RADC","b1","female","a",NA,NA,"grip","digitordering",1,961,15,NA,21,-21412.696,42867.392,42969.619,42902.924,42868.3760255591,"b1_female_a_grip_digitordering_15.out"," radcMAP_wide.dat",1.637,0.502,3.259,0.001,0.001,0.007,0.084,0.933,0.069,0.081,0.847,0.397,-0.018,0.061,-0.291,0.771,0.132,0.111,1.187,0.235,107.805,6.218,17.337,0,0.307,0.064,4.797,0,-2.359,0.555,-4.249,0,22.425,1.119,20.037,0,1.134,0.096,11.753,0,0.004,0.002,2.597,0.009,-0.027,0.011,-2.389,0.017,1.332,0.055,24.335,0,47.417,0.612,77.492,0,-1.046,0.072,-14.581,0,7.367,0.068,108.409,0,-0.006,0.01,-0.647,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:40 AM","RADC","b1","female","a",NA,NA,"grip","digitordering",1,961,16,NA,21,-21460.818,42963.635,43065.863,42999.167,42964.6190255591,"b1_female_a_grip_digitordering_16.out"," radcMAP_wide.dat",1.661,0.502,3.311,0.001,0,0.007,0.048,0.962,0.06,0.079,0.762,0.446,-0.019,0.06,-0.308,0.758,0.134,0.111,1.206,0.228,107.864,6.215,17.356,0,0.301,0.063,4.789,0,-2.359,0.546,-4.317,0,22.396,1.117,20.055,0,1.133,0.096,11.754,0,0.004,0.002,2.52,0.012,-0.027,0.011,-2.355,0.018,1.331,0.055,24.383,0,47.412,0.612,77.5,0,-1.044,0.072,-14.605,0,7.368,0.068,108.479,0,-0.007,0.009,-0.711,0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zero variance"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/05/2015","12:41 AM","RADC","b1","female","a",NA,NA,"grip","digitordering",1,961,4,NA,21,-13440.53,26923.061,27025.288,26958.593,26924.0450255591,"b1_female_a_grip_digitordering_4.out"," radcMAP_wide.dat",1.429,0.573,2.495,0.013,0.01,0.064,0.161,0.872,0.214,0.229,0.932,0.352,-0.104,0.167,-0.622,0.534,0.108,0.158,0.684,0.494,108.318,6.763,16.016,0,0.875,0.485,1.804,0.071,-3.383,1.365,-2.478,0.013,20.261,1.185,17.099,0,1.212,0.134,9.045,0,0.008,0.021,0.396,0.692,-0.051,0.045,-1.136,0.256,1.264,0.066,19.171,0,47.278,0.635,74.402,0,-0.914,0.17,-5.365,0,7.303,0.075,97.511,0,0.052,0.026,1.998,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
