"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/06/2015","11:01 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,10,NA,21,-17659.869,35361.739,35463.966,35397.271,35362.7230255591,"b1_female_a_grip_wordlistrec_10.out"," radcMAP_wide.dat",1.393,0.34,4.094,0,0.023,0.011,2.148,0.032,0.041,0.082,0.494,0.622,-0.063,0.065,-0.964,0.335,0.026,0.051,0.507,0.612,107.859,6.411,16.824,0,0.42,0.106,3.968,0,-2.421,0.732,-3.309,0.001,21.912,0.932,23.507,0,0.554,0.139,3.995,0,0.014,0.007,1.83,0.067,-0.004,0.022,-0.161,0.872,0.377,0.055,6.876,0,47.373,0.616,76.844,0,-1.027,0.081,-12.622,0,9.83,0.029,340.268,0,0.001,0.007,0.191,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","11:02 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,11,NA,21,-18097.831,36237.661,36339.889,36273.193,36238.6450255591,"b1_female_a_grip_wordlistrec_11.out"," radcMAP_wide.dat",1.323,0.338,3.916,0,0.018,0.011,1.684,0.092,0.069,0.081,0.856,0.392,-0.033,0.063,-0.534,0.594,0.029,0.049,0.604,0.546,107.3,6.305,17.018,0,0.336,0.074,4.55,0,-2.202,0.623,-3.536,0,22.061,1.025,21.532,0,0.544,0.138,3.936,0,0.012,0.007,1.616,0.106,0.002,0.021,0.093,0.926,0.38,0.055,6.871,0,47.322,0.613,77.143,0,-1,0.075,-13.332,0,9.831,0.029,343.327,0,0.001,0.007,0.091,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","11:02 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,12,NA,21,-18329.267,36700.535,36802.762,36736.067,36701.5190255591,"b1_female_a_grip_wordlistrec_12.out"," radcMAP_wide.dat",1.289,0.337,3.825,0,0.015,0.01,1.515,0.13,0.093,0.081,1.144,0.252,-0.033,0.061,-0.551,0.581,0.036,0.048,0.739,0.46,107.279,6.283,17.075,0,0.306,0.07,4.397,0,-2.152,0.593,-3.628,0,22.212,1.131,19.637,0,0.534,0.138,3.876,0,0.011,0.007,1.551,0.121,0.006,0.02,0.303,0.762,0.382,0.055,6.902,0,47.346,0.611,77.445,0,-1.012,0.072,-14.076,0,9.834,0.029,344.819,0,-0.001,0.007,-0.145,0.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","11:03 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,13,NA,21,-18453.103,36948.205,37050.433,36983.737,36949.1890255591,"b1_female_a_grip_wordlistrec_13.out"," radcMAP_wide.dat",1.268,0.335,3.785,0,0.011,0.009,1.218,0.223,0.102,0.078,1.3,0.194,-0.015,0.057,-0.267,0.789,0.046,0.049,0.953,0.341,108.334,6.312,17.164,0,0.321,0.068,4.69,0,-2.4,0.586,-4.096,0,22.337,1.134,19.702,0,0.532,0.137,3.873,0,0.011,0.007,1.551,0.121,0.007,0.02,0.347,0.729,0.384,0.055,6.982,0,47.405,0.613,77.378,0,-1.037,0.072,-14.397,0,9.836,0.028,345.779,0,-0.002,0.007,-0.315,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","11:04 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,14,NA,21,-18559.316,37160.632,37262.859,37196.164,37161.6160255591,"b1_female_a_grip_wordlistrec_14.out"," radcMAP_wide.dat",1.291,0.336,3.839,0,0.011,0.009,1.201,0.23,0.099,0.078,1.27,0.204,-0.021,0.057,-0.37,0.712,0.049,0.048,1.007,0.314,108.837,6.324,17.209,0,0.339,0.069,4.924,0,-2.514,0.581,-4.327,0,22.3,1.129,19.751,0,0.529,0.137,3.85,0,0.011,0.007,1.512,0.131,0.009,0.02,0.438,0.661,0.386,0.055,6.997,0,47.429,0.613,77.392,0,-1.045,0.072,-14.509,0,9.837,0.028,347.104,0,-0.003,0.007,-0.417,0.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","11:05 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,15,NA,21,-18623.848,37289.695,37391.923,37325.227,37290.6790255591,"b1_female_a_grip_wordlistrec_15.out"," radcMAP_wide.dat",1.291,0.336,3.842,0,0.011,0.009,1.22,0.222,0.098,0.078,1.268,0.205,-0.024,0.057,-0.423,0.673,0.057,0.049,1.166,0.244,108.347,6.265,17.293,0,0.313,0.065,4.837,0,-2.393,0.562,-4.261,0,22.426,1.119,20.05,0,0.529,0.137,3.854,0,0.011,0.007,1.502,0.133,0.009,0.02,0.454,0.65,0.385,0.055,7.008,0,47.412,0.612,77.456,0,-1.04,0.071,-14.615,0,9.837,0.028,347.487,0,-0.003,0.007,-0.417,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","11:07 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,16,NA,21,-18669.775,37381.551,37483.778,37417.083,37382.5350255591,"b1_female_a_grip_wordlistrec_16.out"," radcMAP_wide.dat",1.304,0.337,3.876,0,0.012,0.009,1.294,0.196,0.094,0.078,1.212,0.226,-0.027,0.057,-0.48,0.632,0.056,0.049,1.14,0.254,108.438,6.263,17.313,0,0.308,0.064,4.837,0,-2.401,0.553,-4.338,0,22.396,1.116,20.069,0,0.527,0.137,3.839,0,0.011,0.007,1.488,0.137,0.01,0.02,0.495,0.621,0.386,0.055,7.033,0,47.407,0.612,77.456,0,-1.038,0.071,-14.631,0,9.838,0.028,347.762,0,-0.003,0.007,-0.439,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/06/2015","11:08 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,17,NA,21,-18676.9,37395.8,37498.027,37431.332,37396.7840255591,"b1_female_a_grip_wordlistrec_17.out"," radcMAP_wide.dat",1.305,0.337,3.877,0,0.012,0.009,1.284,0.199,0.095,0.078,1.218,0.223,-0.028,0.057,-0.483,0.629,0.055,0.049,1.135,0.256,108.486,6.263,17.32,0,0.309,0.064,4.87,0,-2.412,0.553,-4.36,0,22.38,1.115,20.068,0,0.527,0.137,3.839,0,0.011,0.007,1.488,0.137,0.01,0.02,0.495,0.62,0.386,0.055,7.033,0,47.407,0.612,77.45,0,-1.038,0.071,-14.624,0,9.838,0.028,347.735,0,-0.003,0.007,-0.445,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/06/2015","11:10 AM","RADC","b1","female","a",NA,NA,"grip","wordlistrec",1,961,4,NA,21,-11710.434,23462.868,23565.095,23498.4,23463.8520255591,"b1_female_a_grip_wordlistrec_4.out"," radcMAP_wide.dat",1.417,0.366,3.872,0,-0.008,0.031,-0.258,0.797,0.078,0.154,0.505,0.613,-0.087,0.134,-0.654,0.513,-0.019,0.077,-0.248,0.804,108.726,6.797,15.996,0,0.879,0.485,1.811,0.07,-3.427,1.367,-2.507,0.012,20.26,1.184,17.114,0,0.543,0.153,3.544,0,0.006,0.015,0.358,0.72,0.03,0.037,0.812,0.417,0.33,0.063,5.208,0,47.267,0.637,74.243,0,-0.912,0.169,-5.411,0,9.803,0.03,329.791,0,0.021,0.012,1.722,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
