"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:36 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,10,NA,21,-27781.131,55604.262,55706.445,55639.75,55605.2481259338,"b1_female_a_grip_digitsymbols_10.out"," radcMAP_wide.dat",16.77,3.894,4.307,0,0.185,0.059,3.142,0.002,0.997,0.573,1.738,0.082,-0.173,0.576,-0.301,0.764,-0.204,0.496,-0.412,0.68,107.328,6.338,16.935,0,0.426,0.105,4.045,0,-2.397,0.72,-3.332,0.001,21.872,0.936,23.367,0,81.542,4.973,16.398,0,0.455,0.083,5.485,0,1.484,0.469,3.161,0.002,24.819,1.096,22.649,0,47.368,0.617,76.83,0,-1.037,0.082,-12.635,0,42.676,0.514,82.965,0,-0.166,0.063,-2.645,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:36 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,11,NA,21,-28468.434,56978.868,57081.052,57014.357,56979.8541259338,"b1_female_a_grip_digitsymbols_11.out"," radcMAP_wide.dat",17.239,3.85,4.478,0,0.162,0.05,3.231,0.001,0.825,0.537,1.536,0.124,-0.224,0.521,-0.429,0.668,-0.232,0.483,-0.481,0.631,106.738,6.233,17.126,0,0.339,0.075,4.532,0,-2.176,0.611,-3.564,0,22.025,1.026,21.461,0,81.546,4.955,16.456,0,0.418,0.076,5.515,0,1.507,0.455,3.314,0.001,25.12,1.121,22.413,0,47.309,0.614,77.038,0,-1.005,0.076,-13.207,0,42.734,0.515,82.977,0,-0.194,0.06,-3.239,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:37 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,12,NA,21,-28830.835,57703.669,57805.853,57739.158,57704.6551259338,"b1_female_a_grip_digitsymbols_12.out"," radcMAP_wide.dat",17.264,3.834,4.503,0,0.144,0.046,3.135,0.002,0.837,0.525,1.595,0.111,-0.197,0.503,-0.391,0.696,-0.112,0.483,-0.233,0.816,106.708,6.211,17.182,0,0.311,0.072,4.337,0,-2.12,0.584,-3.631,0,22.164,1.131,19.592,0,81.729,4.955,16.495,0,0.421,0.074,5.693,0,1.456,0.451,3.231,0.001,25.234,1.108,22.779,0,47.329,0.612,77.302,0,-1.015,0.073,-13.833,0,42.772,0.516,82.946,0,-0.212,0.06,-3.509,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:37 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,13,NA,21,-29004.491,58050.982,58153.165,58086.47,58051.9681259338,"b1_female_a_grip_digitsymbols_13.out"," radcMAP_wide.dat",17.375,3.846,4.518,0,0.144,0.046,3.11,0.002,0.841,0.519,1.621,0.105,-0.232,0.5,-0.464,0.643,-0.175,0.495,-0.354,0.723,107.948,6.245,17.285,0,0.332,0.071,4.665,0,-2.43,0.58,-4.192,0,22.282,1.134,19.656,0,81.728,4.947,16.521,0,0.412,0.073,5.618,0,1.456,0.447,3.256,0.001,25.37,1.124,22.569,0,47.379,0.614,77.206,0,-1.035,0.074,-14.079,0,42.782,0.516,82.939,0,-0.217,0.06,-3.598,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:38 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,14,NA,21,-29143.911,58329.822,58432.006,58365.31,58330.8081259338,"b1_female_a_grip_digitsymbols_14.out"," radcMAP_wide.dat",17.587,3.849,4.57,0,0.129,0.046,2.819,0.005,0.875,0.513,1.706,0.088,-0.309,0.501,-0.616,0.538,-0.174,0.494,-0.352,0.725,108.454,6.261,17.321,0,0.352,0.072,4.872,0,-2.546,0.578,-4.407,0,22.239,1.129,19.693,0,81.823,4.946,16.543,0,0.413,0.073,5.665,0,1.429,0.445,3.212,0.001,25.397,1.12,22.675,0,47.403,0.614,77.213,0,-1.042,0.074,-14.157,0,42.798,0.516,82.928,0,-0.225,0.06,-3.718,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:39 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,15,NA,21,-29247.508,58537.017,58639.201,58572.505,58538.0031259338,"b1_female_a_grip_digitsymbols_15.out"," radcMAP_wide.dat",17.932,3.829,4.683,0,0.14,0.045,3.12,0.002,0.744,0.51,1.461,0.144,-0.364,0.492,-0.74,0.459,-0.245,0.494,-0.496,0.62,107.918,6.197,17.415,0,0.326,0.068,4.798,0,-2.409,0.556,-4.332,0,22.36,1.118,19.996,0,81.639,4.949,16.494,0,0.404,0.073,5.573,0,1.484,0.447,3.321,0.001,25.482,1.121,22.733,0,47.384,0.613,77.281,0,-1.037,0.073,-14.242,0,42.803,0.516,82.965,0,-0.225,0.06,-3.74,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:41 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,16,NA,21,-29312.709,58667.419,58769.602,58702.907,58668.4051259338,"b1_female_a_grip_digitsymbols_16.out"," radcMAP_wide.dat",17.948,3.829,4.688,0,0.145,0.045,3.251,0.001,0.718,0.509,1.412,0.158,-0.363,0.487,-0.745,0.456,-0.247,0.495,-0.5,0.617,107.958,6.192,17.436,0,0.319,0.067,4.791,0,-2.402,0.547,-4.395,0,22.335,1.116,20.021,0,81.675,4.949,16.505,0,0.405,0.072,5.614,0,1.478,0.446,3.314,0.001,25.483,1.118,22.796,0,47.379,0.613,77.29,0,-1.035,0.072,-14.28,0,42.803,0.516,82.977,0,-0.225,0.06,-3.733,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:42 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,17,NA,21,-29324.1,58690.199,58792.383,58725.688,58691.1851259338,"b1_female_a_grip_digitsymbols_17.out"," radcMAP_wide.dat",17.978,3.83,4.694,0,0.147,0.045,3.291,0.001,0.71,0.509,1.394,0.163,-0.371,0.487,-0.762,0.446,-0.25,0.495,-0.505,0.614,107.992,6.191,17.443,0,0.32,0.066,4.811,0,-2.409,0.546,-4.413,0,22.323,1.115,20.017,0,81.702,4.949,16.508,0,0.406,0.072,5.641,0,1.473,0.446,3.3,0.001,25.473,1.117,22.795,0,47.38,0.613,77.286,0,-1.035,0.072,-14.282,0,42.803,0.516,82.975,0,-0.225,0.06,-3.734,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:44 AM","RADC","b1","female","a",NA,NA,"grip","digitsymbols",1,959,4,NA,21,-18313.882,36669.764,36771.948,36705.253,36670.7501259338,"b1_female_a_grip_digitsymbols_4.out"," radcMAP_wide.dat",16.435,4.077,4.032,0,0.632,0.271,2.328,0.02,1.377,1.346,1.023,0.306,-0.888,1.282,-0.693,0.488,-0.348,0.636,-0.547,0.585,108.069,6.711,16.103,0,0.898,0.466,1.928,0.054,-3.384,1.344,-2.519,0.012,20.263,1.165,17.387,0,80.825,5.205,15.528,0,1.763,0.533,3.306,0.001,1.036,1.209,0.857,0.391,22.839,1.453,15.713,0,47.255,0.636,74.304,0,-0.909,0.168,-5.405,0,42.203,0.529,79.825,0,0.195,0.146,1.33,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
