"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015","11:57 PM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,10,NA,21,-24496.489,49034.977,49137.183,49070.487,49035.9620746269,"b1_female_a_grip_lmdelayed_10.out"," radcMAP_wide.dat",3.618,1.442,2.509,0.012,0.052,0.028,1.822,0.069,0.905,0.265,3.415,0.001,-0.095,0.19,-0.497,0.619,0.23,0.235,0.978,0.328,107.284,6.357,16.877,0,0.42,0.107,3.929,0,-2.433,0.728,-3.341,0.001,21.897,0.933,23.465,0,12.611,0.638,19.77,0,0.167,0.025,6.687,0,0.199,0.098,2.036,0.042,5.862,0.169,34.706,0,47.377,0.615,77.01,0,-1.027,0.083,-12.434,0,11.308,0.184,61.567,0,0.231,0.033,7.001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:58 PM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,11,NA,21,-25115.226,50272.452,50374.657,50307.962,50273.4370746269,"b1_female_a_grip_lmdelayed_11.out"," radcMAP_wide.dat",3.448,1.445,2.386,0.017,0.04,0.026,1.576,0.115,0.915,0.258,3.549,0,0.035,0.18,0.195,0.845,0.221,0.231,0.957,0.339,106.694,6.247,17.078,0,0.331,0.073,4.523,0,-2.21,0.615,-3.595,0,22.067,1.027,21.487,0,12.713,0.636,19.98,0,0.156,0.024,6.646,0,0.187,0.093,2.002,0.045,5.898,0.172,34.347,0,47.327,0.612,77.278,0,-1.003,0.077,-13.104,0,11.349,0.184,61.517,0,0.211,0.032,6.551,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:58 PM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,12,NA,21,-25467.003,50976.005,51078.211,51011.516,50976.9900746269,"b1_female_a_grip_lmdelayed_12.out"," radcMAP_wide.dat",3.562,1.445,2.465,0.014,0.04,0.025,1.64,0.101,0.895,0.259,3.459,0.001,0.012,0.175,0.069,0.945,0.236,0.234,1.008,0.314,106.673,6.223,17.141,0,0.304,0.069,4.386,0,-2.16,0.584,-3.7,0,22.21,1.133,19.599,0,12.783,0.637,20.066,0,0.159,0.023,6.877,0,0.164,0.092,1.784,0.074,5.97,0.18,33.077,0,47.347,0.61,77.574,0,-1.012,0.074,-13.704,0,11.386,0.186,61.331,0,0.193,0.033,5.861,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","11:59 PM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,13,NA,21,-25631.88,51305.761,51407.966,51341.271,51306.7460746269,"b1_female_a_grip_lmdelayed_13.out"," radcMAP_wide.dat",3.829,1.463,2.617,0.009,0.032,0.025,1.269,0.205,0.853,0.256,3.334,0.001,-0.059,0.176,-0.335,0.738,0.306,0.235,1.302,0.193,107.851,6.257,17.236,0,0.323,0.069,4.695,0,-2.45,0.578,-4.239,0,22.327,1.135,19.668,0,12.843,0.637,20.146,0,0.156,0.023,6.77,0,0.152,0.091,1.664,0.096,5.987,0.181,33.122,0,47.401,0.612,77.467,0,-1.032,0.074,-13.932,0,11.398,0.186,61.34,0,0.189,0.033,5.736,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:00 AM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,14,NA,21,-25780.074,51602.148,51704.353,51637.658,51603.1330746269,"b1_female_a_grip_lmdelayed_14.out"," radcMAP_wide.dat",4.109,1.477,2.783,0.005,0.035,0.025,1.385,0.166,0.797,0.255,3.123,0.002,-0.125,0.175,-0.715,0.475,0.264,0.235,1.125,0.261,108.334,6.268,17.283,0,0.343,0.069,4.946,0,-2.559,0.573,-4.464,0,22.285,1.13,19.718,0,12.918,0.639,20.231,0,0.153,0.023,6.7,0,0.135,0.09,1.499,0.134,6.029,0.185,32.658,0,47.421,0.612,77.472,0,-1.037,0.074,-13.953,0,11.408,0.186,61.261,0,0.185,0.033,5.643,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:01 AM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,15,NA,21,-25896.4,51834.801,51937.006,51870.311,51835.7860746269,"b1_female_a_grip_lmdelayed_15.out"," radcMAP_wide.dat",4.269,1.49,2.864,0.004,0.04,0.025,1.614,0.107,0.708,0.258,2.748,0.006,-0.109,0.168,-0.647,0.518,0.216,0.238,0.91,0.363,107.788,6.205,17.372,0,0.315,0.065,4.871,0,-2.415,0.552,-4.379,0,22.412,1.119,20.026,0,13.023,0.644,20.224,0,0.153,0.023,6.776,0,0.109,0.089,1.216,0.224,6.088,0.195,31.174,0,47.404,0.611,77.542,0,-1.033,0.074,-14.045,0,11.418,0.187,61.201,0,0.182,0.033,5.578,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:02 AM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,16,NA,21,-25965.368,51972.736,52074.942,52008.247,51973.7210746269,"b1_female_a_grip_lmdelayed_16.out"," radcMAP_wide.dat",4.328,1.492,2.901,0.004,0.043,0.024,1.751,0.08,0.684,0.256,2.669,0.008,-0.111,0.165,-0.674,0.5,0.199,0.237,0.837,0.402,107.841,6.2,17.394,0,0.309,0.063,4.875,0,-2.413,0.543,-4.447,0,22.384,1.116,20.05,0,13.05,0.646,20.206,0,0.152,0.023,6.734,0,0.104,0.089,1.174,0.24,6.109,0.197,31.057,0,47.398,0.611,77.546,0,-1.03,0.073,-14.037,0,11.427,0.187,61.204,0,0.18,0.033,5.507,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","12:03 AM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,17,NA,21,-25976.272,51994.543,52096.749,52030.054,51995.5280746269,"b1_female_a_grip_lmdelayed_17.out"," radcMAP_wide.dat",4.333,1.492,2.904,0.004,0.043,0.024,1.752,0.08,0.684,0.256,2.673,0.008,-0.114,0.165,-0.687,0.492,0.194,0.237,0.817,0.414,107.891,6.2,17.402,0,0.311,0.063,4.91,0,-2.425,0.542,-4.47,0,22.369,1.116,20.049,0,13.058,0.646,20.217,0,0.152,0.023,6.734,0,0.103,0.089,1.159,0.246,6.109,0.197,31.088,0,47.398,0.611,77.541,0,-1.03,0.073,-14.027,0,11.428,0.187,61.196,0,0.179,0.033,5.498,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/05/2015","12:05 AM","RADC","b1","female","a",NA,NA,"grip","lmdelayed",1,960,4,NA,21,-16209.403,32460.806,32563.012,32496.317,32461.7910746269,"b1_female_a_grip_lmdelayed_4.out"," radcMAP_wide.dat",3.039,1.529,1.988,0.047,-0.03,0.167,-0.178,0.859,1.199,0.568,2.111,0.035,-0.115,0.431,-0.267,0.789,0.291,0.359,0.811,0.417,108.382,6.764,16.023,0,0.878,0.484,1.814,0.07,-3.433,1.358,-2.527,0.012,20.267,1.185,17.103,0,12.233,0.701,17.441,0,0.374,0.1,3.733,0,0.148,0.202,0.733,0.464,5.849,0.246,23.789,0,47.289,0.636,74.412,0,-0.928,0.169,-5.48,0,10.973,0.188,58.262,0,0.516,0.068,7.551,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
