"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/05/2015"," 8:54 AM","RADC","b1","female","a",NA,NA,"grip","bostonstoryimm",1,961,10,NA,21,-21417.304,42876.609,42978.836,42912.141,42877.5930255591,"b1_female_a_grip_bostonstoryimm_10.out"," radcMAP_wide.dat",0.389,0.503,0.773,0.44,0,0.013,-0.013,0.99,0.322,0.122,2.641,0.008,0.04,0.072,0.56,0.575,0.127,0.143,0.891,0.373,107.151,6.366,16.831,0,0.409,0.106,3.872,0,-2.331,0.726,-3.213,0.001,21.913,0.933,23.494,0,1.042,0.094,11.142,0,0.012,0.004,3.474,0.001,0.008,0.016,0.523,0.601,2.088,0.055,37.653,0,47.4,0.616,77.003,0,-1.04,0.081,-12.887,0,9.987,0.065,153.77,0,-0.011,0.014,-0.837,0.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 8:56 AM","RADC","b1","female","a",NA,NA,"grip","bostonstoryimm",1,961,11,NA,21,-21977.973,43997.946,44100.173,44033.478,43998.9300255591,"b1_female_a_grip_bostonstoryimm_11.out"," radcMAP_wide.dat",0.265,0.492,0.538,0.591,-0.01,0.01,-0.996,0.319,0.357,0.119,3.007,0.003,0.092,0.065,1.422,0.155,0.193,0.136,1.416,0.157,106.533,6.255,17.032,0,0.32,0.072,4.478,0,-2.106,0.61,-3.453,0.001,22.087,1.025,21.553,0,1.022,0.092,11.166,0,0.013,0.003,3.883,0,0.012,0.015,0.812,0.417,2.097,0.056,37.418,0,47.343,0.612,77.317,0,-1.012,0.074,-13.703,0,9.997,0.064,156.364,0,-0.017,0.013,-1.266,0.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 8:57 AM","RADC","b1","female","a",NA,NA,"grip","bostonstoryimm",1,961,12,NA,21,-22255.867,44553.735,44655.962,44589.267,44554.7190255591,"b1_female_a_grip_bostonstoryimm_12.out"," radcMAP_wide.dat",0.277,0.49,0.564,0.572,-0.011,0.009,-1.163,0.245,0.358,0.116,3.078,0.002,0.085,0.064,1.338,0.181,0.213,0.136,1.56,0.119,106.542,6.231,17.098,0,0.293,0.068,4.316,0,-2.064,0.579,-3.563,0,22.237,1.135,19.6,0,1.015,0.09,11.231,0,0.012,0.003,3.904,0,0.016,0.014,1.104,0.27,2.097,0.056,37.66,0,47.365,0.61,77.62,0,-1.022,0.071,-14.43,0,9.996,0.064,157.173,0,-0.016,0.013,-1.291,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 8:59 AM","RADC","b1","female","a",NA,NA,"grip","bostonstoryimm",1,961,13,NA,21,-22420.042,44882.084,44984.311,44917.616,44883.0680255591,"b1_female_a_grip_bostonstoryimm_13.out"," radcMAP_wide.dat",0.322,0.492,0.655,0.513,-0.008,0.009,-0.882,0.378,0.344,0.113,3.049,0.002,0.069,0.063,1.093,0.275,0.22,0.138,1.589,0.112,107.741,6.263,17.202,0,0.314,0.067,4.652,0,-2.362,0.574,-4.116,0,22.347,1.136,19.666,0,1.026,0.09,11.404,0,0.012,0.003,4.08,0,0.012,0.014,0.868,0.386,2.117,0.056,37.664,0,47.419,0.612,77.522,0,-1.043,0.071,-14.662,0,9.996,0.064,156.797,0,-0.016,0.013,-1.267,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:02 AM","RADC","b1","female","a",NA,NA,"grip","bostonstoryimm",1,961,14,NA,21,-22539.921,45121.843,45224.07,45157.375,45122.8270255591,"b1_female_a_grip_bostonstoryimm_14.out"," radcMAP_wide.dat",0.358,0.491,0.729,0.466,-0.01,0.009,-1.067,0.286,0.351,0.11,3.186,0.001,0.054,0.064,0.843,0.399,0.203,0.14,1.451,0.147,108.261,6.277,17.246,0,0.333,0.068,4.878,0,-2.483,0.571,-4.347,0,22.308,1.131,19.716,0,1.019,0.09,11.323,0,0.011,0.003,4.044,0,0.014,0.014,1.037,0.3,2.116,0.056,37.521,0,47.444,0.612,77.536,0,-1.05,0.071,-14.755,0,9.997,0.064,157.143,0,-0.017,0.013,-1.315,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:04 AM","RADC","b1","female","a",NA,NA,"grip","bostonstoryimm",1,961,15,NA,21,-22624.38,45290.759,45392.987,45326.291,45291.7430255591,"b1_female_a_grip_bostonstoryimm_15.out"," radcMAP_wide.dat",0.377,0.49,0.77,0.441,-0.009,0.009,-1.031,0.303,0.337,0.109,3.102,0.002,0.057,0.063,0.902,0.367,0.207,0.141,1.466,0.143,107.757,6.216,17.336,0,0.306,0.064,4.814,0,-2.357,0.55,-4.283,0,22.435,1.121,20.016,0,1.011,0.09,11.267,0,0.011,0.003,3.661,0,0.017,0.014,1.239,0.215,2.121,0.056,37.626,0,47.427,0.611,77.598,0,-1.046,0.07,-14.86,0,9.993,0.063,157.583,0,-0.015,0.013,-1.18,0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:06 AM","RADC","b1","female","a",NA,NA,"grip","bostonstoryimm",1,961,16,NA,21,-22679.014,45400.029,45502.256,45435.561,45401.0130255591,"b1_female_a_grip_bostonstoryimm_16.out"," radcMAP_wide.dat",0.406,0.492,0.825,0.409,-0.008,0.009,-0.856,0.392,0.326,0.11,2.968,0.003,0.051,0.063,0.817,0.414,0.204,0.141,1.449,0.147,107.821,6.212,17.357,0,0.301,0.062,4.815,0,-2.358,0.542,-4.347,0,22.403,1.118,20.035,0,1.022,0.09,11.395,0,0.011,0.003,3.978,0,0.014,0.014,1.014,0.311,2.116,0.056,37.616,0,47.422,0.611,77.603,0,-1.044,0.07,-14.872,0,9.993,0.064,157.35,0,-0.015,0.013,-1.164,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zero variance"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/05/2015"," 9:10 AM","RADC","b1","female","a",NA,NA,"grip","bostonstoryimm",1,961,4,NA,21,-14075.486,28192.971,28295.199,28228.503,28193.9550255591,"b1_female_a_grip_bostonstoryimm_4.out"," radcMAP_wide.dat",0.359,0.606,0.592,0.554,-0.01,0.076,-0.133,0.894,0.434,0.295,1.473,0.141,0.086,0.189,0.454,0.65,-0.066,0.191,-0.348,0.728,108.137,6.748,16.026,0,0.855,0.49,1.745,0.081,-3.312,1.367,-2.422,0.015,20.294,1.187,17.091,0,1.138,0.127,8.944,0,0.058,0.03,1.937,0.053,-0.054,0.052,-1.033,0.302,1.99,0.085,23.425,0,47.291,0.635,74.485,0,-0.923,0.168,-5.481,0,9.956,0.075,133.638,0,0.034,0.034,0.988,0.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
