"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:49 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,10,NA,21,-24566.039,49174.078,49276.306,49209.61,49175.0620255591,"b1_female_a_grip_wordlistimmed_10.out"," radcMAP_wide.dat",8.836,1.477,5.983,0,0.064,0.027,2.425,0.015,0.29,0.258,1.123,0.261,-0.085,0.214,-0.398,0.691,0.189,0.26,0.726,0.468,107.724,6.387,16.867,0,0.425,0.107,3.98,0,-2.443,0.732,-3.337,0.001,21.858,0.932,23.44,0,11.526,0.701,16.44,0,0.146,0.023,6.236,0,0.113,0.1,1.128,0.259,6.287,0.172,36.454,0,47.342,0.617,76.745,0,-1.035,0.083,-12.508,0,19.551,0.191,102.426,0,0.14,0.03,4.63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:50 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,11,NA,21,-25186.105,50414.21,50516.438,50449.742,50415.1940255591,"b1_female_a_grip_wordlistimmed_11.out"," radcMAP_wide.dat",8.661,1.469,5.894,0,0.054,0.024,2.264,0.024,0.332,0.251,1.324,0.185,-0.009,0.2,-0.043,0.966,0.257,0.256,1.005,0.315,107.116,6.277,17.065,0,0.335,0.073,4.591,0,-2.212,0.618,-3.577,0,22.032,1.025,21.486,0,11.509,0.699,16.455,0,0.133,0.02,6.499,0,0.134,0.097,1.384,0.166,6.336,0.172,36.901,0,47.292,0.614,77.024,0,-1.01,0.076,-13.203,0,19.579,0.19,102.831,0,0.125,0.029,4.263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:50 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,12,NA,21,-25523.952,51089.904,51192.131,51125.436,51090.8880255591,"b1_female_a_grip_wordlistimmed_12.out"," radcMAP_wide.dat",8.849,1.469,6.025,0,0.052,0.022,2.428,0.015,0.288,0.252,1.144,0.253,-0.049,0.195,-0.252,0.801,0.269,0.255,1.054,0.292,107.132,6.252,17.136,0,0.307,0.069,4.42,0,-2.166,0.586,-3.697,0,22.176,1.132,19.586,0,11.562,0.702,16.474,0,0.133,0.02,6.555,0,0.121,0.096,1.252,0.211,6.368,0.172,37.014,0,47.311,0.612,77.287,0,-1.019,0.074,-13.809,0,19.603,0.191,102.877,0,0.115,0.029,3.905,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:51 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,13,NA,21,-25705.112,51452.223,51554.451,51487.755,51453.2070255591,"b1_female_a_grip_wordlistimmed_13.out"," radcMAP_wide.dat",8.98,1.473,6.096,0,0.033,0.023,1.466,0.143,0.287,0.252,1.137,0.255,-0.065,0.192,-0.336,0.737,0.375,0.257,1.457,0.145,108.256,6.284,17.226,0,0.322,0.068,4.719,0,-2.432,0.58,-4.19,0,22.306,1.133,19.696,0,11.556,0.701,16.478,0,0.128,0.02,6.564,0,0.124,0.096,1.297,0.195,6.444,0.177,36.475,0,47.37,0.614,77.202,0,-1.044,0.074,-14.128,0,19.618,0.191,102.923,0,0.108,0.029,3.687,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:52 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,14,NA,21,-25854.792,51751.584,51853.812,51787.116,51752.5680255591,"b1_female_a_grip_wordlistimmed_14.out"," radcMAP_wide.dat",9.179,1.481,6.198,0,0.034,0.023,1.44,0.15,0.248,0.253,0.98,0.327,-0.108,0.191,-0.564,0.573,0.358,0.256,1.399,0.162,108.748,6.296,17.272,0,0.341,0.069,4.974,0,-2.545,0.576,-4.416,0,22.263,1.126,19.775,0,11.602,0.702,16.526,0,0.127,0.019,6.708,0,0.112,0.095,1.185,0.236,6.483,0.177,36.702,0,47.392,0.614,77.215,0,-1.049,0.074,-14.186,0,19.628,0.191,102.837,0,0.104,0.029,3.582,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:53 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,15,NA,21,-25968.507,51979.014,52081.241,52014.546,51979.9980255591,"b1_female_a_grip_wordlistimmed_15.out"," radcMAP_wide.dat",9.303,1.486,6.259,0,0.037,0.022,1.644,0.1,0.19,0.251,0.759,0.448,-0.11,0.187,-0.592,0.554,0.334,0.253,1.319,0.187,108.263,6.238,17.356,0,0.315,0.065,4.888,0,-2.421,0.557,-4.347,0,22.385,1.116,20.064,0,11.651,0.703,16.564,0,0.124,0.019,6.556,0,0.103,0.094,1.09,0.276,6.551,0.188,34.806,0,47.374,0.613,77.279,0,-1.045,0.073,-14.28,0,19.634,0.191,102.772,0,0.103,0.029,3.539,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:54 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,16,NA,21,-26056.689,52155.378,52257.605,52190.91,52156.3620255591,"b1_female_a_grip_wordlistimmed_16.out"," radcMAP_wide.dat",9.445,1.49,6.339,0,0.04,0.021,1.9,0.057,0.145,0.248,0.584,0.559,-0.132,0.185,-0.71,0.477,0.316,0.25,1.265,0.206,108.349,6.235,17.377,0,0.31,0.063,4.892,0,-2.427,0.549,-4.423,0,22.351,1.113,20.082,0,11.672,0.703,16.614,0,0.121,0.019,6.372,0,0.098,0.093,1.051,0.293,6.643,0.225,29.508,0,47.367,0.613,77.287,0,-1.041,0.073,-14.301,0,19.641,0.191,102.654,0,0.101,0.029,3.48,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:55 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,17,NA,21,-26066.515,52175.029,52277.257,52210.561,52176.0130255591,"b1_female_a_grip_wordlistimmed_17.out"," radcMAP_wide.dat",9.46,1.491,6.347,0,0.041,0.021,1.916,0.055,0.145,0.248,0.584,0.56,-0.138,0.186,-0.746,0.456,0.31,0.25,1.241,0.215,108.402,6.235,17.386,0,0.312,0.063,4.926,0,-2.44,0.548,-4.449,0,22.336,1.112,20.079,0,11.668,0.702,16.617,0,0.12,0.019,6.366,0,0.099,0.093,1.064,0.288,6.64,0.225,29.5,0,47.367,0.613,77.282,0,-1.041,0.073,-14.293,0,19.641,0.191,102.663,0,0.101,0.029,3.484,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:57 AM","RADC","b1","female","a",NA,NA,"grip","wordlistimmed",1,961,4,NA,21,-16151.288,32344.575,32446.803,32380.107,32345.5590255591,"b1_female_a_grip_wordlistimmed_4.out"," radcMAP_wide.dat",8.247,1.566,5.266,0,0.125,0.154,0.812,0.417,0.673,0.567,1.186,0.236,-0.498,0.457,-1.09,0.276,0.295,0.338,0.873,0.383,108.466,6.774,16.011,0,0.866,0.482,1.796,0.072,-3.367,1.361,-2.474,0.013,20.263,1.185,17.099,0,11.749,0.76,15.46,0,0.599,0.112,5.342,0,-0.254,0.225,-1.129,0.259,5.558,0.218,25.468,0,47.241,0.637,74.207,0,-0.915,0.169,-5.404,0,19.148,0.197,97.399,0,0.477,0.07,6.779,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
