"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:15 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,10,NA,21,-28117.01,56276.021,56378.248,56311.553,56277.0050255591,"b1_female_a_grip_categories_10.out"," radcMAP_wide.dat",11.383,2.928,3.888,0,0.105,0.059,1.77,0.077,1.137,0.533,2.134,0.033,0.067,0.365,0.184,0.854,1.421,0.457,3.11,0.002,107.122,6.345,16.883,0,0.418,0.106,3.938,0,-2.356,0.722,-3.265,0.001,21.889,0.935,23.402,0,52.986,3.499,15.144,0,0.598,0.094,6.391,0,0.219,0.526,0.416,0.678,23.384,1.276,18.326,0,47.382,0.616,76.98,0,-1.048,0.081,-12.867,0,38.161,0.411,92.879,0,-0.138,0.059,-2.351,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:15 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,11,NA,21,-28829.682,57701.363,57803.591,57736.895,57702.3470255591,"b1_female_a_grip_categories_11.out"," radcMAP_wide.dat",11.657,2.918,3.995,0,0.093,0.051,1.816,0.069,1.03,0.51,2.021,0.043,0.063,0.336,0.188,0.851,1.345,0.448,3.003,0.003,106.574,6.239,17.082,0,0.331,0.074,4.504,0,-2.141,0.611,-3.503,0,22.043,1.027,21.471,0,53.623,3.531,15.186,0,0.567,0.09,6.334,0,0.097,0.526,0.185,0.853,23.445,1.279,18.327,0,47.33,0.613,77.227,0,-1.02,0.075,-13.616,0,38.181,0.412,92.61,0,-0.146,0.057,-2.576,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:16 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,12,NA,21,-29219.89,58481.781,58584.008,58517.313,58482.7650255591,"b1_female_a_grip_categories_12.out"," radcMAP_wide.dat",11.575,2.907,3.982,0,0.073,0.046,1.572,0.116,1.098,0.501,2.19,0.029,0.077,0.322,0.24,0.81,1.552,0.447,3.472,0.001,106.483,6.215,17.135,0,0.304,0.07,4.318,0,-2.08,0.583,-3.568,0,22.193,1.134,19.571,0,53.96,3.541,15.237,0,0.563,0.09,6.231,0,0.014,0.523,0.027,0.979,23.631,1.263,18.714,0,47.353,0.611,77.54,0,-1.031,0.072,-14.323,0,38.227,0.415,92.201,0,-0.167,0.058,-2.89,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:17 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,13,NA,21,-29419.699,58881.397,58983.625,58916.929,58882.3810255591,"b1_female_a_grip_categories_13.out"," radcMAP_wide.dat",11.982,2.927,4.093,0,0.067,0.046,1.454,0.146,1.052,0.496,2.121,0.034,-0.059,0.323,-0.182,0.855,1.703,0.452,3.763,0,107.61,6.248,17.223,0,0.321,0.07,4.61,0,-2.363,0.577,-4.092,0,22.319,1.136,19.643,0,54.189,3.529,15.354,0,0.563,0.089,6.301,0,-0.053,0.514,-0.103,0.918,23.814,1.258,18.926,0,47.403,0.612,77.456,0,-1.05,0.072,-14.601,0,38.251,0.416,92.035,0,-0.177,0.058,-3.05,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:18 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,14,NA,21,-29579.945,59201.889,59304.116,59237.421,59202.8730255591,"b1_female_a_grip_categories_14.out"," radcMAP_wide.dat",12.477,2.954,4.224,0,0.075,0.046,1.614,0.107,0.952,0.498,1.911,0.056,-0.179,0.334,-0.536,0.592,1.682,0.45,3.737,0,108.066,6.26,17.263,0,0.339,0.07,4.84,0,-2.464,0.574,-4.291,0,22.285,1.131,19.698,0,54.366,3.525,15.425,0,0.565,0.089,6.354,0,-0.094,0.508,-0.185,0.854,23.838,1.252,19.042,0,47.424,0.612,77.473,0,-1.056,0.072,-14.704,0,38.258,0.416,91.96,0,-0.179,0.058,-3.076,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:19 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,15,NA,21,-29697.232,59436.465,59538.692,59471.997,59437.4490255591,"b1_female_a_grip_categories_15.out"," radcMAP_wide.dat",12.508,2.955,4.233,0,0.071,0.046,1.542,0.123,0.881,0.503,1.753,0.08,-0.118,0.312,-0.379,0.705,1.701,0.457,3.718,0,107.527,6.2,17.342,0,0.312,0.066,4.759,0,-2.329,0.556,-4.192,0,22.408,1.12,20.006,0,54.509,3.511,15.523,0,0.569,0.088,6.494,0,-0.136,0.503,-0.27,0.787,23.94,1.249,19.162,0,47.408,0.611,77.536,0,-1.052,0.071,-14.791,0,38.266,0.416,91.929,0,-0.181,0.058,-3.116,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:20 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,16,NA,21,-29779.663,59601.325,59703.552,59636.857,59602.3090255591,"b1_female_a_grip_categories_16.out"," radcMAP_wide.dat",12.724,2.982,4.267,0,0.079,0.046,1.721,0.085,0.784,0.505,1.553,0.12,-0.117,0.306,-0.382,0.703,1.632,0.455,3.586,0,107.569,6.195,17.363,0,0.305,0.064,4.744,0,-2.32,0.548,-4.238,0,22.381,1.118,20.022,0,54.777,3.513,15.593,0,0.565,0.087,6.467,0,-0.185,0.496,-0.372,0.71,24.065,1.255,19.182,0,47.403,0.611,77.541,0,-1.051,0.071,-14.808,0,38.281,0.417,91.829,0,-0.185,0.058,-3.183,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:21 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,17,NA,21,-29792.527,59627.053,59729.281,59662.585,59628.0370255591,"b1_female_a_grip_categories_17.out"," radcMAP_wide.dat",12.739,2.983,4.271,0,0.079,0.046,1.726,0.084,0.783,0.505,1.551,0.121,-0.12,0.307,-0.393,0.694,1.63,0.455,3.579,0,107.617,6.195,17.371,0,0.307,0.064,4.779,0,-2.331,0.547,-4.261,0,22.365,1.117,20.023,0,54.801,3.512,15.604,0,0.566,0.087,6.488,0,-0.191,0.496,-0.384,0.701,24.07,1.254,19.195,0,47.402,0.611,77.535,0,-1.05,0.071,-14.798,0,38.283,0.417,91.825,0,-0.186,0.058,-3.198,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/04/2015"," 2:23 AM","RADC","b1","female","a",NA,NA,"grip","categories",1,961,4,NA,21,-18261.891,36565.781,36668.009,36601.313,36566.7650255591,"b1_female_a_grip_categories_4.out"," radcMAP_wide.dat",11.02,3.106,3.548,0,0.044,0.275,0.161,0.872,1.952,1.094,1.784,0.074,-0.411,0.941,-0.437,0.662,1.044,0.671,1.555,0.12,108.412,6.765,16.024,0,0.882,0.485,1.817,0.069,-3.477,1.364,-2.549,0.011,20.272,1.186,17.095,0,52.79,3.507,15.052,0,1.549,0.507,3.056,0.002,0.04,0.889,0.045,0.964,20.493,0.832,24.637,0,47.268,0.636,74.31,0,-0.923,0.168,-5.48,0,37.91,0.432,87.667,0,0.084,0.133,0.631,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
