"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/05/2015","11:06 AM","RADC","b1","female","a",NA,NA,"grip","matrices",1,943,10,NA,21,-21942.241,43926.482,44028.313,43961.618,43927.485257329,"b1_female_a_grip_matrices_10.out"," radcMAP_wide.dat",4.261,0.96,4.441,0,0.026,0.013,1.942,0.052,-0.088,0.154,-0.569,0.569,-0.108,0.124,-0.873,0.383,-0.108,0.186,-0.581,0.561,107.277,6.359,16.869,0,0.415,0.106,3.928,0,-2.379,0.725,-3.281,0.001,21.888,0.934,23.447,0,4.245,0.271,15.664,0,0.005,0.005,0.977,0.329,-0.012,0.032,-0.383,0.702,3.305,0.162,20.418,0,47.386,0.616,76.917,0,-1.037,0.081,-12.798,0,12.178,0.128,95.222,0,0,0.017,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","11:06 AM","RADC","b1","female","a",NA,NA,"grip","matrices",1,943,11,NA,21,-22498.506,45039.013,45140.843,45074.149,45040.016257329,"b1_female_a_grip_matrices_11.out"," radcMAP_wide.dat",4.224,0.955,4.424,0,0.029,0.012,2.408,0.016,-0.049,0.147,-0.336,0.737,-0.118,0.115,-1.032,0.302,-0.181,0.185,-0.976,0.329,106.745,6.254,17.069,0,0.328,0.073,4.495,0,-2.175,0.612,-3.555,0,22.053,1.026,21.488,0,4.292,0.271,15.863,0,0.006,0.005,1.384,0.166,-0.026,0.03,-0.863,0.388,3.315,0.16,20.73,0,47.333,0.614,77.141,0,-1.007,0.075,-13.48,0,12.199,0.128,95.254,0,-0.011,0.017,-0.664,0.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","11:07 AM","RADC","b1","female","a",NA,NA,"grip","matrices",1,943,12,NA,21,-22770.413,45582.825,45684.655,45617.961,45583.828257329,"b1_female_a_grip_matrices_12.out"," radcMAP_wide.dat",4.247,0.954,4.452,0,0.029,0.011,2.517,0.012,-0.039,0.144,-0.272,0.786,-0.128,0.112,-1.143,0.253,-0.211,0.185,-1.142,0.253,106.722,6.23,17.13,0,0.301,0.07,4.311,0,-2.126,0.583,-3.649,0,22.203,1.135,19.558,0,4.302,0.27,15.938,0,0.006,0.004,1.558,0.119,-0.027,0.029,-0.938,0.348,3.305,0.158,20.865,0,47.353,0.611,77.438,0,-1.017,0.072,-14.19,0,12.208,0.128,95.51,0,-0.015,0.017,-0.917,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","11:08 AM","RADC","b1","female","a",NA,NA,"grip","matrices",1,943,13,NA,21,-22912.534,45867.067,45968.897,45902.203,45868.070257329,"b1_female_a_grip_matrices_13.out"," radcMAP_wide.dat",4.34,0.958,4.53,0,0.03,0.011,2.687,0.007,-0.041,0.14,-0.296,0.767,-0.167,0.112,-1.49,0.136,-0.208,0.185,-1.126,0.26,107.917,6.264,17.229,0,0.321,0.069,4.674,0,-2.424,0.576,-4.21,0,22.317,1.136,19.641,0,4.31,0.27,15.983,0,0.007,0.004,1.679,0.093,-0.029,0.029,-1.015,0.31,3.312,0.158,20.897,0,47.404,0.613,77.33,0,-1.037,0.072,-14.431,0,12.209,0.128,95.496,0,-0.015,0.016,-0.891,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","11:09 AM","RADC","b1","female","a",NA,NA,"grip","matrices",1,943,14,NA,21,-23022.99,46087.98,46189.81,46123.116,46088.983257329,"b1_female_a_grip_matrices_14.out"," radcMAP_wide.dat",4.408,0.958,4.6,0,0.029,0.011,2.61,0.009,-0.043,0.138,-0.312,0.755,-0.185,0.112,-1.646,0.1,-0.228,0.185,-1.231,0.218,108.402,6.278,17.267,0,0.34,0.069,4.924,0,-2.531,0.573,-4.422,0,22.281,1.131,19.709,0,4.314,0.269,16.05,0,0.007,0.004,1.69,0.091,-0.029,0.028,-1.028,0.304,3.303,0.158,20.919,0,47.426,0.613,77.338,0,-1.044,0.072,-14.521,0,12.21,0.128,95.462,0,-0.015,0.016,-0.929,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","11:10 AM","RADC","b1","female","a",NA,NA,"grip","matrices",1,943,15,NA,21,-23106.559,46255.118,46356.948,46290.254,46256.121257329,"b1_female_a_grip_matrices_15.out"," radcMAP_wide.dat",4.491,0.959,4.681,0,0.031,0.011,2.889,0.004,-0.091,0.137,-0.663,0.507,-0.179,0.109,-1.645,0.1,-0.251,0.185,-1.359,0.174,107.895,6.217,17.356,0,0.312,0.064,4.87,0,-2.395,0.55,-4.355,0,22.406,1.12,20.014,0,4.336,0.27,16.085,0,0.007,0.004,1.92,0.055,-0.034,0.028,-1.226,0.22,3.3,0.157,20.99,0,47.411,0.613,77.393,0,-1.041,0.071,-14.61,0,12.211,0.128,95.311,0,-0.015,0.017,-0.916,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/05/2015","11:12 AM","RADC","b1","female","a",NA,NA,"grip","matrices",1,943,16,NA,21,-23160.282,46362.563,46464.394,46397.699,46363.566257329,"b1_female_a_grip_matrices_16.out"," radcMAP_wide.dat",4.552,0.957,4.754,0,0.032,0.01,3.03,0.002,-0.124,0.133,-0.935,0.35,-0.173,0.107,-1.624,0.104,-0.244,0.184,-1.325,0.185,107.923,6.211,17.377,0,0.306,0.063,4.862,0,-2.381,0.54,-4.409,0,22.379,1.117,20.034,0,4.335,0.269,16.132,0,0.007,0.004,1.873,0.061,-0.034,0.028,-1.231,0.218,3.302,0.157,21.051,0,47.406,0.612,77.401,0,-1.039,0.071,-14.636,0,12.211,0.128,95.3,0,-0.015,0.017,-0.883,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zero variance"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
"Mplus VERSION 7.3","0.1","10/05/2015","11:13 AM","RADC","b1","female","a",NA,NA,"grip","matrices",1,943,4,NA,21,-14374.708,28791.416,28893.247,28826.552,28792.419257329,"b1_female_a_grip_matrices_4.out"," radcMAP_wide.dat",4.06,1.068,3.802,0,0.092,0.111,0.833,0.405,0.153,0.419,0.365,0.715,-0.418,0.313,-1.334,0.182,-0.12,0.281,-0.428,0.668,108.408,6.76,16.037,0,0.969,0.495,1.957,0.05,-3.527,1.375,-2.565,0.01,20.152,1.179,17.088,0,4.351,0.343,12.694,0,0.045,0.061,0.742,0.458,-0.031,0.116,-0.266,0.79,3.118,0.204,15.323,0,47.27,0.636,74.3,0,-0.91,0.17,-5.365,0,12.122,0.135,89.848,0,0.038,0.048,0.787,0.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
