"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00_est","pc_TAU_00_se","pc_TAU_00_wald","pc_TAU_00_pval","pc_TAU_11_est","pc_TAU_11_se","pc_TAU_11_wald","pc_TAU_11_pval","pc_TAU_01_est","pc_TAU_01_se","pc_TAU_01_wald","pc_TAU_01_pval","pc_TAU_10_est","pc_TAU_10_se","pc_TAU_10_wald","pc_TAU_10_pval","pc_SIGMA_est","pc_SIGMA_se","pc_SIGMA_wald","pc_SIGMA_pval","pp_TAU_00_est","pp_TAU_00_se","pp_TAU_00_wald","pp_TAU_00_pval","pp_TAU_11_est","pp_TAU_11_se","pp_TAU_11_wald","pp_TAU_11_pval","pp_TAU_01_est","pp_TAU_01_se","pp_TAU_01_wald","pp_TAU_01_pval","p_SIGMA_est","p_SIGMA_se","p_SIGMA_wald","p_SIGMA_pval","cc_TAU_00_est","cc_TAU_00_se","cc_TAU_00_wald","cc_TAU_00_pval","cc_TAU_11_est","cc_TAU_11_se","cc_TAU_11_wald","cc_TAU_11_pval","cc_TAU_10_est","cc_TAU_10_se","cc_TAU_10_wald","cc_TAU_10_pval","c_SIGMA_est","c_SIGMA_se","c_SIGMA_wald","c_SIGMA_pval","p_GAMMA_00_est","p_GAMMA_00_se","p_GAMMA_00_wald","p_GAMMA_00_pval","p_GAMMA_10_est","p_GAMMA_10_se","p_GAMMA_10_wald","p_GAMMA_10_pval","c_GAMMA_00_est","c_GAMMA_00_se","c_GAMMA_00_wald","c_GAMMA_00_pval","c_GAMMA_10_est","c_GAMMA_10_se","c_GAMMA_10_wald","c_GAMMA_10_pval","R_IPIC_est","R_IPIC_se","R_IPIC_wald","R_IPIC_pval","R_SPSC_est","R_SPSC_se","R_SPSC_wald","R_SPSC_pval","R_RES_PC_est","R_RES_PC_se","R_RES_PC_wald","R_RES_PC_pval","trust_all","mistrust","has_converged","covar_covered","Error"
"Mplus VERSION 7.3","0.1","10/04/2015","12:04 AM","RADC","b1","female","a",NA,NA,"fev","mmse",1,961,10,NA,21,-9195.659,18433.317,18535.545,18468.849,18434.3010255591,"b1_female_a_fev_mmse_10.out"," radcMAP_wide.dat",0.06,0.02,3.017,0.003,-0.001,0,-2.333,0.02,0.009,0.005,1.988,0.047,-0.004,0.004,-0.999,0.318,0.002,0.005,0.43,0.667,0.134,0.008,17.118,0,0,0,3.822,0,-0.002,0.001,-3.274,0.001,0.027,0.004,7.171,0,1.217,0.146,8.358,0,0.016,0.007,2.412,0.016,0.02,0.025,0.775,0.439,1.741,0.075,23.302,0,1.735,0.021,82.354,0,-0.032,0.002,-13.082,0,28.797,0.069,419.302,0,-0.044,0.015,-2.996,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","12:06 AM","RADC","b1","female","a",NA,NA,"fev","mmse",1,961,11,NA,21,-9581.072,19204.143,19306.37,19239.675,19205.1270255591,"b1_female_a_fev_mmse_11.out"," radcMAP_wide.dat",0.063,0.02,3.167,0.002,-0.001,0,-2.404,0.016,0.008,0.004,1.812,0.07,-0.004,0.003,-1.171,0.242,0,0.007,-0.04,0.968,0.133,0.008,17.42,0,0,0,3.558,0,-0.003,0.001,-3.44,0.001,0.031,0.005,6.745,0,1.225,0.145,8.454,0,0.015,0.005,2.907,0.004,0.015,0.025,0.605,0.546,1.784,0.079,22.603,0,1.734,0.021,83.498,0,-0.031,0.002,-14.588,0,28.809,0.068,420.867,0,-0.049,0.014,-3.492,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","12:07 AM","RADC","b1","female","a",NA,NA,"fev","mmse",1,961,12,NA,21,-9698.706,19439.411,19541.639,19474.943,19440.3950255591,"b1_female_a_fev_mmse_12.out"," radcMAP_wide.dat",0.063,0.02,3.196,0.001,-0.001,0,-2.332,0.02,0.008,0.004,1.766,0.077,-0.004,0.003,-1.206,0.228,-0.001,0.007,-0.138,0.89,0.133,0.008,17.499,0,0,0,3.509,0,-0.002,0.001,-3.434,0.001,0.031,0.004,6.855,0,1.225,0.145,8.468,0,0.015,0.005,3.008,0.003,0.015,0.025,0.614,0.539,1.786,0.078,22.8,0,1.734,0.021,83.68,0,-0.031,0.002,-14.901,0,28.816,0.068,421.342,0,-0.052,0.014,-3.776,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","12:10 AM","RADC","b1","female","a",NA,NA,"fev","mmse",1,961,13,NA,21,-9759.571,19561.143,19663.37,19596.675,19562.1270255591,"b1_female_a_fev_mmse_13.out"," radcMAP_wide.dat",0.065,0.02,3.273,0.001,-0.001,0,-2.311,0.021,0.007,0.004,1.739,0.082,-0.005,0.003,-1.388,0.165,-0.001,0.006,-0.196,0.845,0.133,0.008,17.534,0,0,0,3.556,0,-0.002,0.001,-3.361,0.001,0.031,0.004,6.905,0,1.23,0.144,8.514,0,0.014,0.005,3.001,0.003,0.014,0.024,0.565,0.572,1.795,0.079,22.672,0,1.735,0.021,83.84,0,-0.032,0.002,-15.008,0,28.814,0.068,421.19,0,-0.051,0.014,-3.702,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","12:11 AM","RADC","b1","female","a",NA,NA,"fev","mmse",1,961,14,NA,21,-9808.649,19659.298,19761.526,19694.83,19660.2820255591,"b1_female_a_fev_mmse_14.out"," radcMAP_wide.dat",0.066,0.02,3.324,0.001,-0.001,0,-2.149,0.032,0.007,0.004,1.597,0.11,-0.005,0.003,-1.384,0.166,-0.001,0.006,-0.085,0.932,0.133,0.008,17.59,0,0,0,3.448,0.001,-0.002,0.001,-3.382,0.001,0.031,0.004,6.943,0,1.232,0.144,8.56,0,0.014,0.005,3.138,0.002,0.013,0.024,0.537,0.591,1.802,0.079,22.881,0,1.735,0.021,83.861,0,-0.032,0.002,-15.261,0,28.816,0.068,421.106,0,-0.052,0.014,-3.755,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","12:14 AM","RADC","b1","female","a",NA,NA,"fev","mmse",1,961,15,NA,21,-9843.017,19728.034,19830.261,19763.566,19729.0180255591,"b1_female_a_fev_mmse_15.out"," radcMAP_wide.dat",0.067,0.02,3.407,0.001,-0.001,0,-1.95,0.051,0.006,0.004,1.378,0.168,-0.004,0.003,-1.342,0.18,0,0.006,-0.073,0.942,0.133,0.008,17.659,0,0,0,3.404,0.001,-0.002,0.001,-3.534,0,0.031,0.004,6.969,0,1.234,0.144,8.557,0,0.014,0.004,3.141,0.002,0.013,0.024,0.528,0.597,1.806,0.079,22.877,0,1.735,0.021,83.804,0,-0.032,0.002,-15.311,0,28.82,0.068,420.819,0,-0.053,0.014,-3.845,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
"Mplus VERSION 7.3","0.1","10/04/2015","12:17 AM","RADC","b1","female","a",NA,NA,"fev","mmse",1,961,16,NA,21,-9865.573,19773.147,19875.374,19808.679,19774.1310255591,"b1_female_a_fev_mmse_16.out"," radcMAP_wide.dat",0.068,0.02,3.432,0.001,-0.001,0,-1.726,0.084,0.005,0.004,1.312,0.19,-0.004,0.003,-1.355,0.176,-0.001,0.006,-0.148,0.883,0.133,0.008,17.692,0,0,0,3.379,0.001,-0.002,0.001,-3.535,0,0.031,0.004,6.971,0,1.238,0.145,8.544,0,0.015,0.005,3.198,0.001,0.011,0.025,0.435,0.663,1.805,0.078,23.017,0,1.734,0.021,83.797,0,-0.031,0.002,-15.314,0,28.821,0.069,420.14,0,-0.054,0.014,-3.872,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zero variance"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No observations"
